accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	sex	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMD00021524	DRS017604			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t9	9606	Homo sapiens	DRS017604										
SAMD00021525	DRS017605			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t10	9606	Homo sapiens	DRS017605										
SAMD00021526	DRS017606			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t11	9606	Homo sapiens	DRS017606										
SAMD00021527	DRS017607			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t12	9606	Homo sapiens	DRS017607										
SAMD00021528	DRS017608			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t13	9606	Homo sapiens	DRS017608										
SAMD00021529	DRS017609			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t14	9606	Homo sapiens	DRS017609										
SAMD00021530	DRS017610			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t15	9606	Homo sapiens	DRS017610										
SAMD00021531	DRS017611			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t16	9606	Homo sapiens	DRS017611										
SAMD00021532	DRS017612			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t17	9606	Homo sapiens	DRS017612										
SAMD00021533	DRS017613			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t18	9606	Homo sapiens	DRS017613										
SAMD00021534	DRS017614			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t19	9606	Homo sapiens	DRS017614										
SAMD00021535	DRS017615			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t20	9606	Homo sapiens	DRS017615										
SAMD00021536	DRS017616			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t21	9606	Homo sapiens	DRS017616										
SAMD00021537	DRS017617			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t22	9606	Homo sapiens	DRS017617										
SAMD00021538	DRS017618			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t23	9606	Homo sapiens	DRS017618										
SAMD00021539	DRS017619			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t24	9606	Homo sapiens	DRS017619										
SAMD00021540	DRS017620			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t25	9606	Homo sapiens	DRS017620										
SAMD00021541	DRS017621			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t26	9606	Homo sapiens	DRS017621										
SAMD00021593	DRS017673			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t1	9606	Homo sapiens	DRS017673										
SAMD00021594	DRS017674			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t2	9606	Homo sapiens	DRS017674										
SAMD00021595	DRS017675			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t3	9606	Homo sapiens	DRS017675										
SAMD00021596	DRS017676			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t4	9606	Homo sapiens	DRS017676										
SAMD00021597	DRS017677			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t5	9606	Homo sapiens	DRS017677										
SAMD00021598	DRS017678			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t6	9606	Homo sapiens	DRS017678										
SAMD00021599	DRS017679			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t7	9606	Homo sapiens	DRS017679										
SAMD00021600	DRS017680			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t8	9606	Homo sapiens	DRS017680										
SAMD00021601	DRS017681			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t9	9606	Homo sapiens	DRS017681										
SAMD00021602	DRS017682			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t10	9606	Homo sapiens	DRS017682										
SAMD00021603	DRS017683			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t11	9606	Homo sapiens	DRS017683										
SAMD00021604	DRS017684			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t12	9606	Homo sapiens	DRS017684										
SAMD00021605	DRS017685			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t13	9606	Homo sapiens	DRS017685										
SAMD00021606	DRS017686			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t14	9606	Homo sapiens	DRS017686										
SAMD00021607	DRS017687			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t15	9606	Homo sapiens	DRS017687										
SAMD00021608	DRS017688			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t16	9606	Homo sapiens	DRS017688										
SAMD00021609	DRS017689			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t17	9606	Homo sapiens	DRS017689										
SAMD00021610	DRS017690			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t18	9606	Homo sapiens	DRS017690										
SAMD00021611	DRS017691			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t19	9606	Homo sapiens	DRS017691										
SAMD00021612	DRS017692			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t20	9606	Homo sapiens	DRS017692										
SAMD00021613	DRS017693			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t21	9606	Homo sapiens	DRS017693										
SAMD00021614	DRS017694			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t22	9606	Homo sapiens	DRS017694										
SAMD00021615	DRS017695			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t23	9606	Homo sapiens	DRS017695										
SAMD00021616	DRS017696			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t24	9606	Homo sapiens	DRS017696										
SAMD00021617	DRS017697			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t25	9606	Homo sapiens	DRS017697										
SAMEA2395796	ERS419967		HL-60/S4	macrophage					TPA_IP		2015-12-31				9606	Homo sapiens	E-MTAB-2360:TPA_IP										
SAMEA2395799	ERS419970		HL-60/S4	macrophage					TPA_input		2015-12-31				9606	Homo sapiens	E-MTAB-2360:TPA_input										
SAMEA2724886	ERS533675			macrophage					This sample has been submitted by The Wellcome Trust Sanger Institute on 2014-08-27; Homo sapiens		2015-02-17				9606	Homo sapiens	Bobsc3_d30_37_control_1_hIPSC_derived_macrophages-sc-2114645										
SAMEA2724887	ERS533676			macrophage					This sample has been submitted by The Wellcome Trust Sanger Institute on 2014-08-27; Homo sapiens		2015-02-17				9606	Homo sapiens	Bobsc_3_d30_37_control_2_hIPSC_derived_macrophages-sc-2114646										
