accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	sex	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMN03976184	SRS1034557			macrophage					HPGL0510		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0510										
SAMN04115732	SRS1091399			macrophage					EU66_NI24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895479										
SAMN04115733	SRS1091394			macrophage					EU52_S2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895484										
SAMN04115734	SRS1091405			macrophage					EU28_NI24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895474										
SAMN04115735	SRS1091409			macrophage					EU306_NI2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895470										
SAMN04115736	SRS1091417			macrophage					EU28_L24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895462										
SAMN04115737	SRS1091403			macrophage					EU302_NI24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895475										
SAMN04115738	SRS1091407			macrophage					EU34_NI2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895471										
SAMN04115739	SRS1091400			macrophage					EU28_S2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895480										
SAMN04115740	SRS1091416			macrophage					EU302_L24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895463										
SAMN04115741	SRS1091395			macrophage					EU66_S2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895485										
SAMN04115742	SRS1091404			macrophage					EU306_NI24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895476										
SAMN04115743	SRS1091398			macrophage					EU302_S2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895481										
SAMN04115744	SRS1091391			macrophage					EU306_S24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895488										
SAMN04115745	SRS1091415			macrophage					EU306_L24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895464										
SAMN04115746	SRS1091408			macrophage					EU52_NI2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895472										
SAMN04115747	SRS1091402			macrophage					EU34_NI24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895477										
SAMN04115748	SRS1091397			macrophage					EU306_S2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895482										
SAMN04115749	SRS1091388			macrophage					EU34_S24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895489										
SAMN04115750	SRS1091414			macrophage					EU34_L24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895465										
SAMN04115751	SRS1091406			macrophage					EU66_NI2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895473										
SAMN04115752	SRS1091393			macrophage					EU28_S24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895486										
SAMN04115753	SRS1091413			macrophage					EU52_L24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895466										
SAMN04115754	SRS1091390			macrophage					EU52_S24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895490										
SAMN04115755	SRS1091401			macrophage					EU52_NI24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895478										
SAMN04115756	SRS1091392			macrophage					EU302_S24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895487										
SAMN04115757	SRS1091396			macrophage					EU34_S2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895483										
SAMN04115758	SRS1091389			macrophage					EU66_S24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895491										
SAMN04115759	SRS1091412			macrophage					EU66_L24 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895467										
SAMN04115760	SRS1091411			macrophage					EU28_NI2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895468										
SAMN04115761	SRS1091410			macrophage					EU302_NI2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895469										
SAMN04115762	SRS1091423			macrophage					EU28_L2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895456										
SAMN04115763	SRS1091422			macrophage					EU302_L2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895457										
SAMN04115764	SRS1091421			macrophage					EU306_L2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895458										
SAMN04115765	SRS1091420			macrophage					EU34_L2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895459										
SAMN04115766	SRS1091419			macrophage					EU52_L2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895460										
SAMN04115767	SRS1091418			macrophage					EU66_L2 (miRNA)		2016-09-08				9606	Homo sapiens	GSM1895461										
SAMN04147231	SRS1101682			macrophage					AF37_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896111										
SAMN04147232	SRS1101681			macrophage					AF37_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896112										
SAMN04147233	SRS1101680			macrophage					AF37_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896113										
SAMN04147234	SRS1101679			macrophage					AF39_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896114										
SAMN04147235	SRS1101678			macrophage					AF39_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896115										
SAMN04147236	SRS1101199			macrophage					AF39_S2 (mRNA)		2015-10-24				9606	Homo sapiens	GSM1896116										
SAMN04147237	SRS1101676			macrophage					AF41_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896117										
SAMN04147238	SRS1101674			macrophage					AF41_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896118										
SAMN04147239	SRS1101685			macrophage					AF35_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896109										
SAMN04147240	SRS1101689			macrophage					AF35_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896110										
SAMN04147241	SRS1101677			macrophage					AF41_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896119										
SAMN04147242	SRS1101675			macrophage					AF43_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896120										
SAMN04147243	SRS1101672			macrophage					AF43_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896121										
SAMN04147244	SRS1101671			macrophage					AF43_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896122										
SAMN04147245	SRS1101673			macrophage					AF45_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896123										
SAMN04147246	SRS1101670			macrophage					AF45_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896124										
SAMN04147247	SRS1101667			macrophage					AF45_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896125										
SAMN04147248	SRS1101666			macrophage					AF47_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896126										
SAMN04147249	SRS1101668			macrophage					AF47_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896127										
SAMN04147250	SRS1101665			macrophage					AF47_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896128										
SAMN04147251	SRS1101662			macrophage					AF49_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896129										
SAMN04147252	SRS1101663			macrophage					AF49_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896130										
SAMN04147253	SRS1101664			macrophage					AF49_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896131										
SAMN04147254	SRS1101661			macrophage					AF53_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896132										
SAMN04147255	SRS1101669			macrophage					AF53_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896133										
SAMN04147256	SRS1101658			macrophage					AF53_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896134										
SAMN04147257	SRS1101660			macrophage					AF57_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896135										
SAMN04147258	SRS1101659			macrophage					AF57_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896136										
SAMN04147259	SRS1101656			macrophage					AF57_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896137										
SAMN04147260	SRS1101657			macrophage					AF59_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896138										
SAMN04147261	SRS1101623			macrophage					EU186_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896175										
SAMN04147262	SRS1101618			macrophage					EU186_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896176										
SAMN04147263	SRS1101617			macrophage					EU20_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896177										
SAMN04147264	SRS1101616			macrophage					EU20_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896178										
SAMN04147265	SRS1101614			macrophage					EU20_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896179										
SAMN04147266	SRS1101615			macrophage					EU22_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896180										
SAMN04147267	SRS1101613			macrophage					EU22_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896181										
SAMN04147268	SRS1101612			macrophage					EU22_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896182										
SAMN04147269	SRS1101610			macrophage					EU24_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896183										
SAMN04147270	SRS1101611			macrophage					EU24_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896184										
SAMN04147271	SRS1101608			macrophage					EU24_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896185										
SAMN04147272	SRS1101609			macrophage					EU26_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896186										
SAMN04147273	SRS1101606			macrophage					EU26_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896187										
SAMN04147274	SRS1101607			macrophage					EU26_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896188										
SAMN04147275	SRS1101620			macrophage					EU16_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896173										
SAMN04147276	SRS1101619			macrophage					EU186_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896174										
SAMN04147277	SRS1101575			macrophage					EU52_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896219										
SAMN04147278	SRS1101573			macrophage					EU52_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896220										
SAMN04147279	SRS1101574			macrophage					EU52_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896221										
SAMN04147280	SRS1101571			macrophage					EU54_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896222										
SAMN04147281	SRS1101572			macrophage					EU54_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896223										
SAMN04147282	SRS1101568			macrophage					EU54_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896224										
SAMN04147283	SRS1101569			macrophage					EU58_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896225										
SAMN04147284	SRS1101570			macrophage					EU58_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896226										
SAMN04147285	SRS1101567			macrophage					EU58_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896227										
SAMN04147286	SRS1101566			macrophage					EU60_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896228										
SAMN04147287	SRS1101564			macrophage					EU60_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896229										
SAMN04147288	SRS1101565			macrophage					EU60_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896230										
SAMN04147289	SRS1101563			macrophage					EU62_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896231										
SAMN04147290	SRS1101559			macrophage					EU62_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896232										
SAMN04147291	SRS1101560			macrophage					EU62_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896233										
SAMN04147292	SRS1101561			macrophage					EU64_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896234										
SAMN04147293	SRS1101562			macrophage					EU64_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896235										
SAMN04147294	SRS1101558			macrophage					EU64_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896236										
SAMN04147295	SRS1101556			macrophage					EU66_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896237										
SAMN04147296	SRS1101554			macrophage					EU66_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896238										
SAMN04147297	SRS1101555			macrophage					EU66_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896239										
SAMN04147298	SRS1101548			macrophage					EU72_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896246										
SAMN04147299	SRS1101547			macrophage					EU72_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896247										
SAMN04147300	SRS1101546			macrophage					EU72_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896248										
SAMN04147301	SRS1101557			macrophage					EU68_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896240										
SAMN04147302	SRS1101552			macrophage					EU68_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896241										
SAMN04147303	SRS1101553			macrophage					EU68_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896242										
SAMN04147304	SRS1101550			macrophage					EU70_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896243										
SAMN04147305	SRS1101551			macrophage					EU70_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896244										
SAMN04147306	SRS1101549			macrophage					EU70_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896245										
SAMN04147307	SRS1101544			macrophage					EU74_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896249										
SAMN04147308	SRS1101543			macrophage					EU74_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896250										
SAMN04147309	SRS1101542			macrophage					EU74_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896251										
SAMN04147310	SRS1101541			macrophage					EU76_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896252										
SAMN04147311	SRS1101540			macrophage					EU76_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896253										
SAMN04147312	SRS1101539			macrophage					EU76_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896254										
SAMN04147313	SRS1101538			macrophage					EU78_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896255										
SAMN04147314	SRS1101537			macrophage					EU78_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896256										
SAMN04147315	SRS1101536			macrophage					EU78_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896257										
SAMN04147316	SRS1101535			macrophage					EU80_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896258										
SAMN04147317	SRS1101534			macrophage					EU80_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896259										
SAMN04147318	SRS1101533			macrophage					EU80_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896260										
SAMN04147319	SRS1101532			macrophage					EU28_S24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896261										
SAMN04147320	SRS1101531			macrophage					EU302_S24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896262										
SAMN04147321	SRS1101530			macrophage					EU306_S24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896263										
SAMN04147322	SRS1101529			macrophage					EU34_S24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896264										
SAMN04147323	SRS1101528			macrophage					EU52_S24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896265										
SAMN04147324	SRS1101527			macrophage					EU66_S24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896266										
SAMN04147325	SRS1101526			macrophage					EU28_NI24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896267										
SAMN04147326	SRS1101525			macrophage					EU302_NI24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896268										
SAMN04147327	SRS1101524			macrophage					EU306_NI24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896269										
SAMN04147328	SRS1101523			macrophage					EU34_NI24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896270										
SAMN04147329	SRS1101522			macrophage					EU52_NI24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896271										
SAMN04147330	SRS1101521			macrophage					EU66_NI24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896272										
SAMN04147331	SRS1101520			macrophage					EU28_L24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896273										
SAMN04147332	SRS1101519			macrophage					EU302_L24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896274										
SAMN04147333	SRS1101518			macrophage					EU306_L24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896275										
SAMN04147334	SRS1101517			macrophage					EU34_L24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896276										
SAMN04147335	SRS1101516			macrophage					EU52_L24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896277										
SAMN04147336	SRS1101515			macrophage					EU66_L24 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896278										
SAMN04147337	SRS1101605			macrophage					EU28_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896189										
SAMN04147338	SRS1101604			macrophage					EU28_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896190										
SAMN04147339	SRS1101603			macrophage					EU28_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896191										
SAMN04147340	SRS1101602			macrophage					EU30_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896192										
SAMN04147341	SRS1101601			macrophage					EU30_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896193										
SAMN04147342	SRS1101600			macrophage					EU30_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896194										
SAMN04147343	SRS1101599			macrophage					EU302_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896195										
SAMN04147344	SRS1101597			macrophage					EU302_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896196										
SAMN04147345	SRS1101598			macrophage					EU302_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896197										
SAMN04147346	SRS1101596			macrophage					EU306_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896198										
SAMN04147347	SRS1101594			macrophage					EU306_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896199										
SAMN04147348	SRS1101595			macrophage					EU306_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896200										
SAMN04147349	SRS1101593			macrophage					EU34_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896201										
SAMN04147350	SRS1101589			macrophage					EU34_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896202										
SAMN04147351	SRS1101590			macrophage					EU34_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896203										
SAMN04147352	SRS1101592			macrophage					EU36_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896204										
SAMN04147353	SRS1101591			macrophage					EU36_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896205										
SAMN04147354	SRS1101586			macrophage					EU36_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896206										
SAMN04147355	SRS1101587			macrophage					EU42_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896207										
SAMN04147356	SRS1101588			macrophage					EU42_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896208										
SAMN04147357	SRS1101584			macrophage					EU42_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896209										
SAMN04147358	SRS1101585			macrophage					EU46_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896210										
SAMN04147359	SRS1101582			macrophage					EU46_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896211										
SAMN04147360	SRS1101581			macrophage					EU46_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896212										
SAMN04147361	SRS1101583			macrophage					EU48_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896213										
SAMN04147362	SRS1101580			macrophage					EU48_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896214										
SAMN04147363	SRS1101576			macrophage					EU48_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896215										
SAMN04147364	SRS1101577			macrophage					EU50_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896216										
SAMN04147365	SRS1101578			macrophage					EU50_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896217										
SAMN04147366	SRS1101579			macrophage					EU50_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896218										
SAMN04147367	SRS1101655			macrophage					AF59_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896139										
SAMN04147368	SRS1101654			macrophage					AF59_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896140										
SAMN04147369	SRS1101653			macrophage					AF61_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896141										
SAMN04147370	SRS1101652			macrophage					AF61_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896142										
SAMN04147371	SRS1101651			macrophage					AF61_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896143										
SAMN04147372	SRS1101650			macrophage					AF63_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896144										
SAMN04147373	SRS1101649			macrophage					AF63_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896145										
SAMN04147374	SRS1101648			macrophage					AF63_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896146										
SAMN04147375	SRS1101647			macrophage					AF65_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896147										
SAMN04147376	SRS1101646			macrophage					AF65_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896148										
SAMN04147377	SRS1101645			macrophage					AF65_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896149										
SAMN04147378	SRS1101644			macrophage					AF67_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896150										
SAMN04147379	SRS1101643			macrophage					AF67_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896151										
SAMN04147380	SRS1101642			macrophage					AF67_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896152										
SAMN04147381	SRS1101641			macrophage					AF69_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896154										
SAMN04147382	SRS1101637			macrophage					AF69_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896155										
SAMN04147383	SRS1101636			macrophage					AF71_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896156										
SAMN04147384	SRS1101638			macrophage					AF71_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896157										
SAMN04147385	SRS1101635			macrophage					AF71_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896158										
SAMN04147386	SRS1101639			macrophage					AF77_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896159										
SAMN04147387	SRS1101634			macrophage					AF77_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896160										
SAMN04147388	SRS1101631			macrophage					AF77_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896161										
SAMN04147389	SRS1101640			macrophage					AF69_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896153										
SAMN04147390	SRS1101624			macrophage					EU14_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896170										
SAMN04147391	SRS1101622			macrophage					EU14_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896169										
SAMN04147392	SRS1101632			macrophage					AF79_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896162										
SAMN04147393	SRS1101630			macrophage					AF79_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896163										
SAMN04147394	SRS1101627			macrophage					AF79_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896164										
SAMN04147395	SRS1101628			macrophage					EU06_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896165										
SAMN04147396	SRS1101629			macrophage					EU06_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896166										
SAMN04147397	SRS1101633			macrophage					EU06_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896167										
SAMN04147398	SRS1101626			macrophage					EU14_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896168										
SAMN04147399	SRS1101625			macrophage					EU16_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896171										
SAMN04147400	SRS1101621			macrophage					EU16_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896172										
SAMN04147401	SRS1101513			macrophage					AF11_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896081										
SAMN04147402	SRS1101514			macrophage					AF11_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896082										
SAMN04147403	SRS1101512			macrophage					AF11_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896083										
SAMN04147404	SRS1101707			macrophage					AF17_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896084										
SAMN04147405	SRS1101704			macrophage					AF17_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896085										
SAMN04147406	SRS1101705			macrophage					AF17_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896086										
SAMN04147407	SRS1101709			macrophage					AF19_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896087										
SAMN04147408	SRS1101708			macrophage					AF19_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896088										
SAMN04147409	SRS1101703			macrophage					AF19_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896089										
SAMN04147410	SRS1101702			macrophage					AF21_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896090										
SAMN04147411	SRS1101699			macrophage					AF21_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896091										
SAMN04147412	SRS1101706			macrophage					AF21_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896092										
SAMN04147413	SRS1101698			macrophage					AF23_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896093										
SAMN04147414	SRS1101701			macrophage					AF23_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896094										
SAMN04147415	SRS1101700			macrophage					AF23_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896095										
SAMN04147416	SRS1101696			macrophage					AF25_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896096										
SAMN04147417	SRS1101695			macrophage					AF25_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896097										
SAMN04147418	SRS1101694			macrophage					AF25_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896098										
SAMN04147419	SRS1101697			macrophage					AF27_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896099										
SAMN04147420	SRS1101693			macrophage					AF27_NI2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896100										
SAMN04147421	SRS1101692			macrophage					AF27_S2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896101										
SAMN04147422	SRS1101691			macrophage					AF29_L2 (mRNA)		2016-09-08				9606	Homo sapiens	GSM1896102										
