accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMN05462747	SRS1592157			Monocyte					singles-PB1022-mono-160128-61		2016-07-31			9606	Homo sapiens	GSM2255258										
SAMN05462748	SRS1592156			Monocyte					singles-PB1022-mono-160128-60		2016-07-31			9606	Homo sapiens	GSM2255257										
SAMN05462749	SRS1592155			Monocyte					singles-PB1022-mono-160128-59		2016-07-31			9606	Homo sapiens	GSM2255256										
SAMN05462750	SRS1592154			Monocyte					singles-PB1022-mono-160128-58		2016-07-31			9606	Homo sapiens	GSM2255255										
SAMN05462751	SRS1592153			Monocyte					singles-PB1022-mono-160128-57		2016-07-31			9606	Homo sapiens	GSM2255254										
SAMN05462752	SRS1592152			Monocyte					singles-PB1022-mono-160128-56		2016-07-31			9606	Homo sapiens	GSM2255253										
SAMN05462753	SRS1592151			Monocyte					singles-PB1022-mono-160128-55		2016-07-31			9606	Homo sapiens	GSM2255252										
SAMN05462754	SRS1592150			Monocyte					singles-PB1022-mono-160128-54		2016-07-31			9606	Homo sapiens	GSM2255251										
SAMN05462755	SRS1592149			Monocyte					singles-PB1022-mono-160128-53		2016-07-31			9606	Homo sapiens	GSM2255250										
SAMN05462756	SRS1592148			Monocyte					singles-PB1022-mono-160128-52		2016-07-31			9606	Homo sapiens	GSM2255249										
SAMN05462757	SRS1592147			Monocyte					singles-PB1022-mono-160128-51		2016-07-31			9606	Homo sapiens	GSM2255248										
SAMN05462758	SRS1592146			Monocyte					singles-PB1022-mono-160128-50		2016-07-31			9606	Homo sapiens	GSM2255247										
SAMN05462759	SRS1592145			Monocyte					singles-PB1022-mono-160128-49		2016-07-31			9606	Homo sapiens	GSM2255246										
SAMN05462760	SRS1592144			Monocyte					singles-PB1022-mono-160128-48		2016-07-31			9606	Homo sapiens	GSM2255245										
SAMN05462761	SRS1592142			Monocyte					singles-PB1022-mono-160128-47		2016-07-31			9606	Homo sapiens	GSM2255244										
SAMN05462762	SRS1592143			Monocyte					singles-PB1022-mono-160128-46		2016-07-31			9606	Homo sapiens	GSM2255243										
SAMN05462763	SRS1592141			Monocyte					singles-PB1022-mono-160128-45		2016-07-31			9606	Homo sapiens	GSM2255242										
SAMN05462764	SRS1592140			Monocyte					singles-PB1022-mono-160128-44		2016-07-31			9606	Homo sapiens	GSM2255241										
SAMN05462765	SRS1592139			Monocyte					singles-PB1022-mono-160128-43		2016-07-31			9606	Homo sapiens	GSM2255240										
SAMN05462766	SRS1592138			Monocyte					singles-PB1022-mono-160128-42		2016-07-31			9606	Homo sapiens	GSM2255239										
SAMN05462767	SRS1592137			Monocyte					singles-PB1022-mono-160128-41		2016-07-31			9606	Homo sapiens	GSM2255238										
SAMN05462768	SRS1592136			Monocyte					singles-PB1022-mono-160128-40		2016-07-31			9606	Homo sapiens	GSM2255237										
SAMN05462769	SRS1592134			Monocyte					singles-PB1022-mono-160128-39		2016-07-31			9606	Homo sapiens	GSM2255236										
SAMN05462770	SRS1592192			Monocyte					singles-PB1022-mono-160128-96		2016-07-31			9606	Homo sapiens	GSM2255293										
SAMN05462771	SRS1592190			Monocyte					singles-PB1022-mono-160128-95		2016-07-31			9606	Homo sapiens	GSM2255292										
SAMN05462772	SRS1592191			Monocyte					singles-PB1022-mono-160128-94		2016-07-31			9606	Homo sapiens	GSM2255291										
SAMN05462773	SRS1592189			Monocyte					singles-PB1022-mono-160128-93		2016-07-31			9606	Homo sapiens	GSM2255290										
SAMN05462774	SRS1592188			Monocyte					singles-PB1022-mono-160128-92		2016-07-31			9606	Homo sapiens	GSM2255289										
SAMN05462775	SRS1592187			Monocyte					singles-PB1022-mono-160128-91		2016-07-31			9606	Homo sapiens	GSM2255288										
SAMN05462776	SRS1592185			Monocyte					singles-PB1022-mono-160128-90		2016-07-31			9606	Homo sapiens	GSM2255287										
SAMN05462777	SRS1592186			Monocyte					singles-PB1022-mono-160128-89		2016-07-31			9606	Homo sapiens	GSM2255286										
SAMN05462778	SRS1592184			Monocyte					singles-PB1022-mono-160128-88		2016-07-31			9606	Homo sapiens	GSM2255285										
SAMN05462779	SRS1592183			Monocyte					singles-PB1022-mono-160128-87		2016-07-31			9606	Homo sapiens	GSM2255284										
SAMN05462780	SRS1592181			Monocyte					singles-PB1022-mono-160128-86		2016-07-31			9606	Homo sapiens	GSM2255283										
SAMN05462781	SRS1592182			Monocyte					singles-PB1022-mono-160128-85		2016-07-31			9606	Homo sapiens	GSM2255282										
SAMN05462782	SRS1592179			Monocyte					singles-PB1022-mono-160128-84		2016-07-31			9606	Homo sapiens	GSM2255281										
SAMN05462783	SRS1592180			Monocyte					singles-PB1022-mono-160128-83		2016-07-31			9606	Homo sapiens	GSM2255280										
SAMN05462784	SRS1592178			Monocyte					singles-PB1022-mono-160128-82		2016-07-31			9606	Homo sapiens	GSM2255279										
SAMN05462785	SRS1592177			Monocyte					singles-PB1022-mono-160128-81		2016-07-31			9606	Homo sapiens	GSM2255278										
SAMN05462786	SRS1592176			Monocyte					singles-PB1022-mono-160128-80		2016-07-31			9606	Homo sapiens	GSM2255277										
SAMN05462787	SRS1592175			Monocyte					singles-PB1022-mono-160128-79		2016-07-31			9606	Homo sapiens	GSM2255276										
SAMN05462788	SRS1592174			Monocyte					singles-PB1022-mono-160128-78		2016-07-31			9606	Homo sapiens	GSM2255275										
SAMN05462789	SRS1592173			Monocyte					singles-PB1022-mono-160128-77		2016-07-31			9606	Homo sapiens	GSM2255274										
SAMN05462790	SRS1592171			Monocyte					singles-PB1022-mono-160128-76		2016-07-31			9606	Homo sapiens	GSM2255273										
SAMN05462791	SRS1592169			Monocyte					singles-PB1022-mono-160128-75		2016-07-31			9606	Homo sapiens	GSM2255272										
SAMN05462792	SRS1592170			Monocyte					singles-PB1022-mono-160128-74		2016-07-31			9606	Homo sapiens	GSM2255271										
SAMN05462793	SRS1592172			Monocyte					singles-PB1022-mono-160128-73		2016-07-31			9606	Homo sapiens	GSM2255270										
SAMN05462794	SRS1592168			Monocyte					singles-PB1022-mono-160128-72		2016-07-31			9606	Homo sapiens	GSM2255269										
SAMN05462795	SRS1592167			Monocyte					singles-PB1022-mono-160128-71		2016-07-31			9606	Homo sapiens	GSM2255268										
SAMN05462796	SRS1592165			Monocyte					singles-PB1022-mono-160128-70		2016-07-31			9606	Homo sapiens	GSM2255267										
SAMN05462797	SRS1592166			Monocyte					singles-PB1022-mono-160128-69		2016-07-31			9606	Homo sapiens	GSM2255266										
SAMN05462989	SRS1592103			Monocyte					singles-PB1022-mono-160128-8		2016-07-31			9606	Homo sapiens	GSM2255205										
SAMN05462990	SRS1592104			Monocyte					singles-PB1022-mono-160128-7		2016-07-31			9606	Homo sapiens	GSM2255204										
SAMN05462991	SRS1592102			Monocyte					singles-PB1022-mono-160128-6		2016-07-31			9606	Homo sapiens	GSM2255203										
SAMN05462992	SRS1592101			Monocyte					singles-PB1022-mono-160128-5		2016-07-31			9606	Homo sapiens	GSM2255202										
SAMN05462993	SRS1592099			Monocyte					singles-PB1022-mono-160128-4		2016-07-31			9606	Homo sapiens	GSM2255201										
SAMN05462994	SRS1592100			Monocyte					singles-PB1022-mono-160128-3		2016-07-31			9606	Homo sapiens	GSM2255200										
SAMN05462995	SRS1592098			Monocyte					singles-PB1022-mono-160128-2		2016-07-31			9606	Homo sapiens	GSM2255199										
SAMN05462996	SRS1592097			Monocyte					singles-PB1022-mono-160128-1		2016-07-31			9606	Homo sapiens	GSM2255198										
SAMN05463019	SRS1592135			Monocyte					singles-PB1022-mono-160128-38		2016-07-31			9606	Homo sapiens	GSM2255235										
SAMN05463020	SRS1592133			Monocyte					singles-PB1022-mono-160128-37		2016-07-31			9606	Homo sapiens	GSM2255234										
SAMN05463021	SRS1592132			Monocyte					singles-PB1022-mono-160128-36		2016-07-31			9606	Homo sapiens	GSM2255233										
SAMN05463022	SRS1592131			Monocyte					singles-PB1022-mono-160128-35		2016-07-31			9606	Homo sapiens	GSM2255232										
SAMN05463023	SRS1592130			Monocyte					singles-PB1022-mono-160128-34		2016-07-31			9606	Homo sapiens	GSM2255231										
SAMN05463024	SRS1592129			Monocyte					singles-PB1022-mono-160128-33		2016-07-31			9606	Homo sapiens	GSM2255230										
SAMN05463025	SRS1592128			Monocyte					singles-PB1022-mono-160128-32		2016-07-31			9606	Homo sapiens	GSM2255229										
SAMN05463026	SRS1592127			Monocyte					singles-PB1022-mono-160128-31		2016-07-31			9606	Homo sapiens	GSM2255228										
SAMN05463027	SRS1592126			Monocyte					singles-PB1022-mono-160128-30		2016-07-31			9606	Homo sapiens	GSM2255227										
SAMN05463028	SRS1592125			Monocyte					singles-PB1022-mono-160128-29		2016-07-31			9606	Homo sapiens	GSM2255226										
SAMN05463029	SRS1592124			Monocyte					singles-PB1022-mono-160128-28		2016-07-31			9606	Homo sapiens	GSM2255225										
SAMN05513907	SRS1603680			Monocyte					BG_d1_6717		2016-11-19			9606	Homo sapiens	GSM2262842										
SAMN05513908	SRS1603679			Monocyte					BG_d1_6093		2016-11-19			9606	Homo sapiens	GSM2262841										
SAMN05513911	SRS1603675			Monocyte					BG_1h_6711		2016-11-19			9606	Homo sapiens	GSM2262837										
SAMN05513912	SRS1603676			Monocyte					BG_4h_6090		2016-11-19			9606	Homo sapiens	GSM2262838										
SAMN05513913	SRS1603677			Monocyte					BG_4h_6714		2016-11-19			9606	Homo sapiens	GSM2262839										
SAMN05513914	SRS1603678			Monocyte					BG_4h_don73_10836		2016-11-19			9606	Homo sapiens	GSM2262840										
SAMN05513915	SRS1603682			Monocyte					BG_d6_6720		2016-11-19			9606	Homo sapiens	GSM2262844										
SAMN05513916	SRS1603687			Monocyte					BG_d6_Restim_8755		2016-11-19			9606	Homo sapiens	GSM2262849										
SAMN05513917	SRS1603728			Monocyte					Monocyte_d0_6085		2016-11-19			9606	Homo sapiens	GSM2262890										
SAMN05513918	SRS1603727			Monocyte					LPSthenIBET_d6_Restim_don70_10832		2016-11-19			9606	Homo sapiens	GSM2262889										
SAMN05513919	SRS1603726			Monocyte					LPSthenIBET_d6_don70_10831		2016-11-19			9606	Homo sapiens	GSM2262888										
SAMN05513920	SRS1603725			Monocyte					LPS_d6_Restim_don70_10650		2016-11-19			9606	Homo sapiens	GSM2262887										
SAMN05513921	SRS1603724			Monocyte					LPS_d6_don70_10649		2016-11-19			9606	Homo sapiens	GSM2262886										
SAMN05513922	SRS1603723			Monocyte					LPS_d6_Restim_9247		2016-11-19			9606	Homo sapiens	GSM2262885										
SAMN05513923	SRS1603722			Monocyte					LPS_d6_Restim_8750		2016-11-19			9606	Homo sapiens	GSM2262884										
SAMN05513924	SRS1603721			Monocyte					LPS_d6_9244		2016-11-19			9606	Homo sapiens	GSM2262883										
SAMN05513925	SRS1603720			Monocyte					LPS_d6_8747		2016-11-19			9606	Homo sapiens	GSM2262882										
SAMN05513926	SRS1603718			Monocyte					LPS_d6_6719		2016-11-19			9606	Homo sapiens	GSM2262881										
SAMN05513927	SRS1603719			Monocyte					LPS_d6_6097		2016-11-19			9606	Homo sapiens	GSM2262880										
SAMN05513928	SRS1603717			Monocyte					LPS_d1_6716		2016-11-19			9606	Homo sapiens	GSM2262879										
SAMN05513929	SRS1603716			Monocyte					LPS_d1_6094		2016-11-19			9606	Homo sapiens	GSM2262878										
SAMN05513930	SRS1603714			Monocyte					LPS_4h_don73_10835		2016-11-19			9606	Homo sapiens	GSM2262877										
SAMN05513931	SRS1603715			Monocyte					LPS_4h_6713		2016-11-19			9606	Homo sapiens	GSM2262876										
SAMN05513932	SRS1603713			Monocyte					LPS_4h_6091		2016-11-19			9606	Homo sapiens	GSM2262875										
SAMN05513933	SRS1603712			Monocyte					LPS_1h_6710		2016-11-19			9606	Homo sapiens	GSM2262874										
SAMN05513934	SRS1603711			Monocyte					LPS_1h_6088		2016-11-19			9606	Homo sapiens	GSM2262873										
SAMN05513935	SRS1603710			Monocyte					IBET_d6_RPMI_5uM_Restim_10528		2016-11-19			9606	Homo sapiens	GSM2262872										
SAMN05513936	SRS1603709			Monocyte					IBET_d6_RPMI_5uM_9878		2016-11-19			9606	Homo sapiens	GSM2262871										
SAMN05513937	SRS1603708			Monocyte					IBET_d6_RPMI_5uM_10526		2016-11-19			9606	Homo sapiens	GSM2262870										
SAMN05513938	SRS1603707			Monocyte					IBET_d6_RPMI_1uM_9877		2016-11-19			9606	Homo sapiens	GSM2262869										
SAMN05513939	SRS1603706			Monocyte					IBET_d6_RPMI_0uM_Restim_10527		2016-11-19			9606	Homo sapiens	GSM2262868										
SAMN05513940	SRS1603705			Monocyte					IBET_d6_RPMI_0uM_9876		2016-11-19			9606	Homo sapiens	GSM2262867										
SAMN05513941	SRS1603704			Monocyte					IBET_d6_RPMI_0uM_10525		2016-11-19			9606	Homo sapiens	GSM2262866										
SAMN05513942	SRS1603703			Monocyte					IBET_d6_LPS_5uM_Restim_10652		2016-11-19			9606	Homo sapiens	GSM2262865										
SAMN05513943	SRS1603701			Monocyte					IBET_d6_LPS_5uM_Restim_10532		2016-11-19			9606	Homo sapiens	GSM2262863										
SAMN05513944	SRS1603702			Monocyte					IBET_d6_LPS_5uM_Restim_10644		2016-11-19			9606	Homo sapiens	GSM2262864										
SAMN05513945	SRS1603697			Monocyte					IBET_d6_LPS_5uM_10530		2016-11-19			9606	Homo sapiens	GSM2262859										
SAMN05513946	SRS1603700			Monocyte					IBET_d6_LPS_5uM_9881		2016-11-19			9606	Homo sapiens	GSM2262862										
SAMN05513947	SRS1603752			Monocyte					Rescue_LPS_BGd2_d6_10653		2016-11-19			9606	Homo sapiens	GSM2262914										
SAMN05513948	SRS1603750			Monocyte					Rescue_LPS_BGd2_d6_10645		2016-11-19			9606	Homo sapiens	GSM2262913										
SAMN05513949	SRS1603751			Monocyte					Rescue_LPS_BGd2_Restim_10654		2016-11-19			9606	Homo sapiens	GSM2262912										
SAMN05513950	SRS1603749			Monocyte					Rescue_LPS_BGd2_Restim_10646		2016-11-19			9606	Homo sapiens	GSM2262911										
SAMN05513951	SRS1603748			Monocyte					RPMI_d6_Restim_don70_10648		2016-11-19			9606	Homo sapiens	GSM2262910										
SAMN05513952	SRS1603747			Monocyte					RPMI_d6_don70_10647		2016-11-19			9606	Homo sapiens	GSM2262909										
SAMN05513953	SRS1603746			Monocyte					RPMI_d6_Restim_9246		2016-11-19			9606	Homo sapiens	GSM2262908										
SAMN05513954	SRS1603745			Monocyte					RPMI_d6_Restim_8754		2016-11-19			9606	Homo sapiens	GSM2262907										
SAMN05513955	SRS1603744			Monocyte					RPMI_d6_Restim_8749		2016-11-19			9606	Homo sapiens	GSM2262906										
SAMN05513956	SRS1603743			Monocyte					RPMI_d6_9243		2016-11-19			9606	Homo sapiens	GSM2262905										
SAMN05513957	SRS1603741			Monocyte					RPMI_d6_8752		2016-11-19			9606	Homo sapiens	GSM2262904										
SAMN05513958	SRS1603735			Monocyte					RPMI_4h_6712		2016-11-19			9606	Homo sapiens	GSM2262897										
SAMN05513959	SRS1603740			Monocyte					RPMI_d6_8746		2016-11-19			9606	Homo sapiens	GSM2262903										
SAMN05513960	SRS1603739			Monocyte					RPMI_d6_6718		2016-11-19			9606	Homo sapiens	GSM2262902										
SAMN05513961	SRS1603742			Monocyte					RPMI_d6_6095		2016-11-19			9606	Homo sapiens	GSM2262901										
SAMN05513962	SRS1603738			Monocyte					RPMI_d1_6715		2016-11-19			9606	Homo sapiens	GSM2262900										
SAMN05513963	SRS1603737			Monocyte					RPMI_d1_6092		2016-11-19			9606	Homo sapiens	GSM2262899										
SAMN05513964	SRS1603736			Monocyte					RPMI_4h_don73_10834		2016-11-19			9606	Homo sapiens	GSM2262898										
SAMN05513965	SRS1603733			Monocyte					RPMI_1h_6709		2016-11-19			9606	Homo sapiens	GSM2262895										
SAMN05513966	SRS1603731			Monocyte					RPMI_1h_6086		2016-11-19			9606	Homo sapiens	GSM2262894										
SAMN05513967	SRS1603732			Monocyte					Monocyte_d0_don73_10833		2016-11-19			9606	Homo sapiens	GSM2262893										
SAMN05513968	SRS1603730			Monocyte					Monocyte_d0_IBET_9885		2016-11-19			9606	Homo sapiens	GSM2262892										
SAMN05513969	SRS1603729			Monocyte					Monocyte_d0_6708		2016-11-19			9606	Homo sapiens	GSM2262891										
SAMN05513970	SRS1603734			Monocyte					RPMI_4h_6089		2016-11-19			9606	Homo sapiens	GSM2262896										
SAMN05513971	SRS1603694			Monocyte					IBET_d6_LPS_0uM_9879		2016-11-19			9606	Homo sapiens	GSM2262856										
SAMN05513972	SRS1603698			Monocyte					IBET_d6_LPS_5uM_10643		2016-11-19			9606	Homo sapiens	GSM2262860										
SAMN05513973	SRS1603674			Monocyte					BG_1h_6087		2016-11-19			9606	Homo sapiens	GSM2262836										
SAMN05513974	SRS1603686			Monocyte					BG_d6_Restim_8751		2016-11-19			9606	Homo sapiens	GSM2262848										
SAMN05513975	SRS1603684			Monocyte					BG_d6_8753		2016-11-19			9606	Homo sapiens	GSM2262846										
SAMN05513976	SRS1603685			Monocyte					BG_d6_9245		2016-11-19			9606	Homo sapiens	GSM2262847										
SAMN05513977	SRS1603691			Monocyte					IBET_d6_BG_1uM_9883		2016-11-19			9606	Homo sapiens	GSM2262853										
SAMN05513978	SRS1603690			Monocyte					IBET_d6_BG_0uM_9882		2016-11-19			9606	Homo sapiens	GSM2262852										
SAMN05513979	SRS1603683			Monocyte					BG_d6_8748		2016-11-19			9606	Homo sapiens	GSM2262845										
SAMN05513980	SRS1603689			Monocyte					IBET_4h_RPMI_don73_10837		2016-11-19			9606	Homo sapiens	GSM2262851										
SAMN05513981	SRS1603688			Monocyte					BG_d6_Restim_9248		2016-11-19			9606	Homo sapiens	GSM2262850										
SAMN05513982	SRS1603696			Monocyte					IBET_d6_LPS_1uM_9880		2016-11-19			9606	Homo sapiens	GSM2262858										
SAMN05513983	SRS1603693			Monocyte					IBET_d6_LPS_0uM_10529		2016-11-19			9606	Homo sapiens	GSM2262855										
SAMN05513984	SRS1603692			Monocyte					IBET_d6_BG_5uM_9884		2016-11-19			9606	Homo sapiens	GSM2262854										
SAMN05513985	SRS1603695			Monocyte					IBET_d6_LPS_0uM_Restim_10531		2016-11-19			9606	Homo sapiens	GSM2262857										
SAMN05513986	SRS1603699			Monocyte					IBET_d6_LPS_5uM_10651		2016-11-19			9606	Homo sapiens	GSM2262861										
SAMN05513987	SRS1603681			Monocyte					BG_d6_6096		2016-11-19			9606	Homo sapiens	GSM2262843										
SAMN05513995	SRS1603875			Monocyte					LPS_d6_H3K9me3		2016-11-19			9606	Homo sapiens	GSM2263041										
SAMN05513996	SRS1603874			Monocyte					BG_d1_H3K9me3		2016-11-19			9606	Homo sapiens	GSM2263040										
SAMN05513997	SRS1603888			Monocyte					BG_d6_rep2_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2263054										
SAMN05513998	SRS1603810			Monocyte					RPMI_4h_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262976										
SAMN05513999	SRS1603809			Monocyte					BG_d1_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2262975										
SAMN05514000	SRS1603808			Monocyte					LPS_d1_H3K9me3		2016-11-19			9606	Homo sapiens	GSM2262974										
SAMN05514001	SRS1603806			Monocyte					don74_LPS_d6_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262972										
SAMN05514002	SRS1603805			Monocyte					BG_4h_rep2_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262971										
SAMN05514003	SRS1603804			Monocyte					RPMI_d1_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262970										
SAMN05514004	SRS1603803			Monocyte					don74_LPS_d6_24hr_BG_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262969										
SAMN05514005	SRS1603802			Monocyte					RPMI_d6_rep2_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2262968										
SAMN05514006	SRS1603801			Monocyte					LPS_4h_H3K9me3		2016-11-19			9606	Homo sapiens	GSM2262967										
SAMN05514007	SRS1603800			Monocyte					BG_1h_rep2_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262966										
SAMN05514008	SRS1603799			Monocyte					d0_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262965										
SAMN05514009	SRS1603798			Monocyte					LPS_d6_rep2_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2262964										
SAMN05514010	SRS1603797			Monocyte					RPMI_d6_rep2_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262963										
SAMN05514011	SRS1603796			Monocyte					LPS_4h_rep2_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262962										
SAMN05514012	SRS1603795			Monocyte					BG_d6_rep2_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262961										
SAMN05514013	SRS1603793			Monocyte					RPMI_d6_rep1_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2262960										
SAMN05514014	SRS1603794			Monocyte					don74_RPMI_d6_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262959										
SAMN05514015	SRS1603792			Monocyte					LPS_R_rep2_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2262958										
SAMN05514016	SRS1603791			Monocyte					BG_d6_H3K9me3		2016-11-19			9606	Homo sapiens	GSM2262957										
SAMN05514017	SRS1603790			Monocyte					LPS_d6_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262956										
SAMN05514018	SRS1603789			Monocyte					BG_1h_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262955										
SAMN05514019	SRS1603788			Monocyte					don73_RPMI_d6_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262954										
SAMN05514020	SRS1603761			Monocyte					RPMI_1h_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262926										
SAMN05514021	SRS1603757			Monocyte					BG_d7_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262925										
SAMN05514022	SRS1603758			Monocyte					BG_1h_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262924										
SAMN05514023	SRS1603759			Monocyte					LPS_1h_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262923										
SAMN05514024	SRS1603787			Monocyte					LPS_d6_rep2_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262953										
SAMN05514025	SRS1603786			Monocyte					BG_1h_rep2_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262952										
SAMN05514026	SRS1603785			Monocyte					RPMI_1h_rep2_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262951										
SAMN05514027	SRS1603783			Monocyte					LPS_d1_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262950										
SAMN05514028	SRS1603784			Monocyte					don73_RPMI_d6_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262949										
SAMN05514029	SRS1603782			Monocyte					RPMI_4h_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262948										
SAMN05514030	SRS1603781			Monocyte					RPMI_d7_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262947										
SAMN05514031	SRS1603779			Monocyte					don74_LPS_d6_co_iBET_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262946										
SAMN05514032	SRS1603780			Monocyte					LPS_d7_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262945										
SAMN05514033	SRS1603778			Monocyte					BG_4h_rep2_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262944										
SAMN05514034	SRS1603777			Monocyte					RPMI_1h_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262943										
SAMN05514035	SRS1603776			Monocyte					RPMI_R_H3K9me3		2016-11-19			9606	Homo sapiens	GSM2262942										
SAMN05514036	SRS1603775			Monocyte					LPS_1h_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262941										
SAMN05514037	SRS1603773			Monocyte					RPMI_d6_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262940										
SAMN05514038	SRS1603774			Monocyte					LPS_R_rep1_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2262939										
SAMN05514039	SRS1603772			Monocyte					BG_4h_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262938										
SAMN05514040	SRS1603770			Monocyte					BG_d1_rep2_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262937										
SAMN05514041	SRS1603769			Monocyte					d0_rep2_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262936										
SAMN05514042	SRS1603771			Monocyte					LPS_d1_rep2_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262935										
SAMN05514043	SRS1603767			Monocyte					LPS_d1_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262934										
SAMN05514044	SRS1603768			Monocyte					LPS_d1_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262933										
SAMN05514045	SRS1603766			Monocyte					BG_d6_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262932										
SAMN05514046	SRS1603765			Monocyte					LPS_d1_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2262931										
SAMN05514047	SRS1603763			Monocyte					BG_R_rep1_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2262930										
SAMN05514048	SRS1603764			Monocyte					don74_LPS_d6_co_iBET_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262929										
SAMN05514049	SRS1603847			Monocyte					BG_4h_rep2_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263013										
SAMN05514050	SRS1603846			Monocyte					RPMI_4h_H3K9me3		2016-11-19			9606	Homo sapiens	GSM2263012										
SAMN05514051	SRS1603845			Monocyte					LPS_4h_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2263011										
SAMN05514052	SRS1603844			Monocyte					BG_1h_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2263010										
SAMN05514053	SRS1603843			Monocyte					BG_d7_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2263009										
SAMN05514054	SRS1603842			Monocyte					BG_d7_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263008										
SAMN05514055	SRS1603841			Monocyte					RPMI_d6_rep2_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263007										
SAMN05514056	SRS1603840			Monocyte					d0_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263006										
SAMN05514057	SRS1603839			Monocyte					LPS_d6_rep1_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2263005										
SAMN05514058	SRS1603838			Monocyte					RPMI_R_rep2_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2263004										
SAMN05514059	SRS1603837			Monocyte					RPMI_d1_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263003										
SAMN05514060	SRS1603836			Monocyte					d0_rep2_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263002										
SAMN05514061	SRS1603835			Monocyte					d0_rep2_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2263001										
SAMN05514062	SRS1603834			Monocyte					BG_d6_rep2_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2263000										
SAMN05514063	SRS1603833			Monocyte					LPS_4h_rep2_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262999										
SAMN05514064	SRS1603832			Monocyte					RPMI_4h_rep2_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262998										
SAMN05514065	SRS1603831			Monocyte					LPS_d7_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262997										
