accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMD00005380	DRS008041			monocyte					11874-125C2		2014-04-27			9606	Homo sapiens	SAMD00005380										
SAMD00005394	DRS008020			monocyte					11305-117B9	57 years old adult	2014-04-27		blood	9606	Homo sapiens	SAMD00005394										
SAMD00005512	DRS008019			monocyte					11224-116B9	47 years old adult	2014-04-27		blood	9606	Homo sapiens	SAMD00005512										
SAMD00005516	DRS008058			monocyte					11788-124B6		2014-04-27		blood	9606	Homo sapiens	SAMD00005516										
SAMD00005535	DRS008062			monocyte					11911-125G3		2014-04-27		blood	9606	Homo sapiens	SAMD00005535										
SAMD00005539	DRS008021			monocyte					11381-118B4	53 years old adult	2014-04-27		blood	9606	Homo sapiens	SAMD00005539										
SAMD00005543	DRS008055			monocyte					11789-124B7		2014-04-27		blood	9606	Homo sapiens	SAMD00005543										
SAMD00005560	DRS008046			monocyte					11866-125B3		2014-04-27			9606	Homo sapiens	SAMD00005560										
SAMD00005678	DRS008056			monocyte					11801-124D1		2014-04-27		blood	9606	Homo sapiens	SAMD00005678										
SAMD00005739	DRS008043			monocyte					11861-125A7		2014-04-27			9606	Homo sapiens	SAMD00005739										
SAMD00005767	DRS008026			monocyte					11873-125C1		2014-04-27			9606	Homo sapiens	SAMD00005767										
SAMD00005810	DRS008051			monocyte					11882-125D1		2014-04-27			9606	Homo sapiens	SAMD00005810										
SAMD00005837	DRS008061			monocyte					11800-124C9		2014-04-27		blood	9606	Homo sapiens	SAMD00005837										
SAMD00005846	DRS008028			monocyte					11869-125B6		2014-04-27			9606	Homo sapiens	SAMD00005846										
SAMD00005942	DRS008034			monocyte					11868-125B5		2014-04-27			9606	Homo sapiens	SAMD00005942										
SAMD00005948	DRS008048			monocyte					11886-125D5		2014-04-27			9606	Homo sapiens	SAMD00005948										
SAMD00005955	DRS008040			monocyte					11864-125B1		2014-04-27			9606	Homo sapiens	SAMD00005955										
SAMD00005981	DRS008050			monocyte					11872-125B9		2014-04-27			9606	Homo sapiens	SAMD00005981										
SAMD00005991	DRS008039			monocyte					11887-125D6		2014-04-27			9606	Homo sapiens	SAMD00005991										
SAMD00006012	DRS008053			monocyte					11875-125C3		2014-04-27			9606	Homo sapiens	SAMD00006012										
SAMD00009790	DRS000309		THP-1	monocyte					Negative control knockdown	1 year old	2010-09-02		peripheral blood	9606	Homo sapiens	SAMD00009790										
SAMD00009791	DRS000308		THP-1	monocyte					MYB knockdown	1 year old	2010-09-02		peripheral blood	9606	Homo sapiens	SAMD00009791										
SAMD00009792	DRS000306		THP-1	monocyte					SP1 knockdown	1 year old	2010-09-02		peripheral blood	9606	Homo sapiens	SAMD00009792										
SAMD00009793	DRS000305		THP-1	monocyte					PU.1 knockdown	1 year old	2010-09-02		peripheral blood	9606	Homo sapiens	SAMD00009793										
SAMD00009795	DRS000307		THP-1	monocyte					IRF8 knockdown	1 year old	2010-09-02		peripheral blood	9606	Homo sapiens	SAMD00009795										
SAMD00013977	DRS012087		TIB-202 THP-1	monocyte					2855-61D3	1 years infant	2014-04-27		peripheral blood	9606	Homo sapiens	SAMD00013977										
SAMEA2224109	ERS360458			monocyte					SAMPLE5_M2c MACROPHAGES		2013-11-01			9606	Homo sapiens	E-MTAB-1969:SAMPLE5_M2c MACROPHAGES										
SAMEA2224110	ERS360459			monocyte					SAMPLE3_M1 MACROPHAGES		2013-11-01			9606	Homo sapiens	E-MTAB-1969:SAMPLE3_M1 MACROPHAGES										
SAMEA2224111	ERS360460			monocyte					SAMPLE1_MONOCYTES		2013-11-01			9606	Homo sapiens	E-MTAB-1969:SAMPLE1_MONOCYTES										
