id	label	study
GSM861653	CD4T	Reinius
GSM861654	CD4T	Reinius
GSM861655	CD4T	Reinius
GSM861656	CD4T	Reinius
GSM861657	CD4T	Reinius
GSM861658	CD4T	Reinius
GSM861659	CD8T	Reinius
GSM861660	CD8T	Reinius
GSM861661	CD8T	Reinius
GSM861662	CD8T	Reinius
GSM861663	CD8T	Reinius
GSM861664	CD8T	Reinius
GSM861665	Monocyte	Reinius
GSM861666	Monocyte	Reinius
GSM861667	Monocyte	Reinius
GSM861668	Monocyte	Reinius
GSM861669	Monocyte	Reinius
GSM861670	Monocyte	Reinius
GSM861671	B	Reinius
GSM861672	B	Reinius
GSM861673	B	Reinius
GSM861674	B	Reinius
GSM861675	B	Reinius
GSM861676	B	Reinius
GSM861677	NK	Reinius
GSM861678	NK	Reinius
GSM861679	NK	Reinius
GSM861680	NK	Reinius
GSM861681	NK	Reinius
GSM861682	NK	Reinius
GSM861683	Neutrophil	Reinius
GSM861684	Neutrophil	Reinius
GSM861685	Neutrophil	Reinius
GSM861686	Neutrophil	Reinius
GSM861687	Neutrophil	Reinius
GSM861688	Neutrophil	Reinius
GSM1848097	CD8T	Limbach
GSM1848096	CD8T	Limbach
GSM1848095	CD8T	Limbach
GSM1848094	CD8T	Limbach
GSM1848093	CD8T	Limbach
GSM1848092	CD8T	Limbach
GSM1848091	CD8T	Limbach
GSM1848090	CD8T	Limbach
GSM1848089	CD8T	Limbach
GSM1848088	CD8T	Limbach
GSM1848087	CD8T	Limbach
GSM1848086	CD8T	Limbach
GSM1848085	CD8T	Limbach
GSM1848084	CD8T	Limbach
GSM1848083	CD8T	Limbach
GSM1848082	CD8T	Limbach
GSM1848081	CD8T	Limbach
GSM1848080	CD8T	Limbach
GSM1848079	CD8T	Limbach
GSM1848078	CD8T	Limbach
GSM1848077	CD8T	Limbach
GSM1848076	CD8T	Limbach
GSM1848075	CD8T	Limbach
GSM1848074	CD8T	Limbach
GSM1848073	CD8T	Limbach
GSM1848072	CD8T	Limbach
GSM1848071	CD8T	Limbach
GSM1848070	CD8T	Limbach
GSM1848068	CD8T	Limbach
GSM1848065	CD8T	Limbach
GSM1848063	CD8T	Limbach
GSM1848022	CD4T	Limbach
GSM1848021	CD4T	Limbach
GSM1848020	CD4T	Limbach
GSM1848019	CD4T	Limbach
GSM1848018	CD4T	Limbach
GSM1848017	CD4T	Limbach
GSM1848016	CD4T	Limbach
GSM1848015	CD4T	Limbach
GSM1848014	CD4T	Limbach
GSM1848013	CD4T	Limbach
GSM1848012	CD4T	Limbach
GSM1848011	CD4T	Limbach
GSM1848010	CD4T	Limbach
GSM1848009	CD4T	Limbach
GSM1848008	CD4T	Limbach
GSM1848007	CD4T	Limbach
GSM1848006	CD4T	Limbach
GSM1848005	CD4T	Limbach
GSM1848004	CD4T	Limbach
GSM1848003	CD4T	Limbach
GSM1848002	CD4T	Limbach
GSM1848001	CD4T	Limbach
GSM1848000	CD4T	Limbach
GSM1847999	CD4T	Limbach
GSM1847998	CD4T	Limbach
GSM1847997	CD4T	Limbach
GSM1847996	CD4T	Limbach
GSM1847995	CD4T	Limbach
GSM1847994	CD4T	Limbach
GSM1847993	CD4T	Limbach
GSM1847992	CD4T	Limbach
GSM1364563	CD4T	Reynolds
GSM1364558	CD4T	Reynolds
GSM1364556	CD4T	Reynolds
GSM1364555	CD4T	Reynolds
GSM1364551	CD4T	Reynolds
GSM1364545	CD4T	Reynolds
GSM1364544	CD4T	Reynolds
GSM1364541	CD4T	Reynolds
GSM1364537	CD4T	Reynolds
GSM1364534	CD4T	Reynolds
GSM1364533	CD4T	Reynolds
GSM1364531	CD4T	Reynolds
GSM1364528	CD4T	Reynolds
GSM1364527	CD4T	Reynolds
GSM1364522	CD4T	Reynolds
GSM1364521	CD4T	Reynolds
GSM1364504	CD4T	Reynolds
GSM1364496	CD4T	Reynolds
GSM1364481	CD4T	Reynolds
GSM1364480	CD4T	Reynolds
GSM1364476	CD4T	Reynolds
GSM1364462	CD4T	Reynolds
GSM1364457	CD4T	Reynolds
GSM1354359	Monocyte	Reynolds
GSM1354339	Monocyte	Reynolds
GSM1354305	Monocyte	Reynolds
GSM1354290	Monocyte	Reynolds
GSM1354255	Monocyte	Reynolds
GSM1354248	Monocyte	Reynolds
GSM1354219	Monocyte	Reynolds
GSM1354216	Monocyte	Reynolds
GSM1354204	Monocyte	Reynolds
GSM1354195	Monocyte	Reynolds
GSM1354191	Monocyte	Reynolds
GSM1354158	Monocyte	Reynolds
GSM1354139	Monocyte	Reynolds
GSM1354095	Monocyte	Reynolds
GSM1354085	Monocyte	Reynolds
GSM1354055	Monocyte	Reynolds
GSM1354010	Monocyte	Reynolds
GSM1353959	Monocyte	Reynolds
GSM1353945	Monocyte	Reynolds
GSM1353915	Monocyte	Reynolds
GSM1353913	Monocyte	Reynolds
GSM1353790	Monocyte	Reynolds
GSM1353708	Monocyte	Reynolds
GSM1353617	Monocyte	Reynolds
GSM1353581	Monocyte	Reynolds
GSM1353530	Monocyte	Reynolds
GSM1353529	Monocyte	Reynolds
GSM1353454	Monocyte	Reynolds
GSM1353446	Monocyte	Reynolds
GSM1353443	Monocyte	Reynolds
GSM1353387	Monocyte	Reynolds
GSM1353246	Monocyte	Reynolds
GSM1353243	Monocyte	Reynolds
GSM1353209	Monocyte	Reynolds
GSM1587293	Neutrophil	Coit
GSM1587292	Neutrophil	Coit
GSM1587289	Neutrophil	Coit
GSM1587288	Neutrophil	Coit
GSM1587284	Neutrophil	Coit
GSM1587283	Neutrophil	Coit
GSM1587280	Neutrophil	Coit
GSM1587279	Neutrophil	Coit
GSM1587278	Neutrophil	Coit
GSM1587273	Neutrophil	Coit
GSM1587272	Neutrophil	Coit
GSM1587267	Neutrophil	Coit
GSM1587266	Neutrophil	Coit
GSM1587261	Neutrophil	Coit
GSM1587260	Neutrophil	Coit
GSM1204714	Treg	Zhang
GSM1204712	Treg	Zhang
GSM1204710	Treg	Zhang
GSM1204706	Treg	Zhang
GSM1625014	NK	Schlums
GSM1625013	NK	Schlums
GSM1625012	NK	Schlums
GSM1625010	NK	Schlums
GSM1625009	NK	Schlums
GSM1625007	NK	Schlums
GSM1625006	NK	Schlums
GSM1625004	NK	Schlums
GSM1625003	NK	Schlums
GSM1625002	NK	Schlums
GSM1625000	NK	Schlums
GSM1624998	NK	Schlums
GSM1624996	NK	Schlums
GSM1624995	NK	Schlums
GSM1624993	NK	Schlums
