Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
1076	0.0840571889758613	0	0.0633798195978251	0.00603490986072747	0	0.16323266228144	0.0361074248917797	0.000879129143907529	0.00504294189379527	0	0.047245867879859	0	0	0.365899486706118	0.0258662948267213	0.157658036130954	0	0.0221327482725909	0.0188349196903089	0	0	0.00362856984811168	0	0.713128550830093	0.738163996469603
6546	0.0757169535730174	0	0.183383223748521	0.0867369514660539	0	0.154611554074638	0.0405156165604694	0.0248183578550974	0.00862690122920493	0	0.0472164141900576	0	0.00183646780346429	0.209547317796336	0.0611944160030902	0.0950755382933868	0	0	0.00127299019983414	0.00853970682816094	0	0.000907590378669249	0	0.587102770102817	0.819579777369286
A50Z	0.0273859204162019	0	0.06808344952889	0	0	0.184453767906413	0	0	0.0264820807252052	0	0.0719319845116614	0.0669047552231417	0	0.137969926241882	0.0145400693247657	0.0744867624794618	0	0.0885927496731461	0.0882829937565762	0	0	0.150885540212655	0	0.470308029324953	0.882923772692957
3409	0.0606526238563275	0	0.0370275006633217	0.00583474746811644	0	0.247521420333249	0.0105481824829421	0	0	0	0.030570727050271	0	0.00522505156750202	0.252479395129123	0.0834234449327599	0.204482631838428	0.0217037395328727	0	0.0380932292386115	0	0	0.00243730590647573	0	0.708424332151514	0.752668305556475
7809	0.141632875770295	0	0.12084869063962	0.0617715517705799	0	0.200304974105288	0.0296818367575413	0.0214032802916041	0	0	0.0326468475843638	0.010021812551403	0.0179222959831503	0.129603073243433	0.0388618989943863	0.119568227720471	0	0.0116781491399714	0.0580666690310374	0	0.00598781641685452	0	0	0.575146430739703	0.831847992160191
1080	0.106286583164307	0	0.0995890083915388	0.0735993722990971	0	0.205366322788563	0.067882334093978	0.012975201689754	0.00986711795363331	0	0.0689038745074109	0	0.0202612315170783	0.132826778591397	0.0180041614453905	0.105089334383567	0	0.0609943315653337	0.0183543476089509	0	0	0	0	0.533785221084959	0.853417497773926
8008	0.0916186674813512	0	0.148677981549771	0	0	0.288954796668161	0	0	0	0	0.0824999641790874	0	0.0153426433924428	0.158647478807547	0.0292931752614225	0.111273065355354	0	0.0147065045752464	0	0.0471868865433885	0	0.0117988361862282	0	0.616606523076084	0.807790272754742
2780	0.0389405480337689	0.00328835474391011	0.159076906122304	0.0103420531445141	0	0.161305237822363	0	0.0157152511913125	0.00624967216791419	0	0.0554185896763945	0	0	0.267854755734209	0.0400828383326059	0.079972601550208	0	0.0552228790569286	0.0571761556377905	0.0341273113310507	0	0.0152268454547259	0	0.500959436778495	0.867079118761734
8083	0.335952735083802	0	0.0820925782623875	0.0134206777810612	0	0.138348471403195	0	0	0.0583235035669296	0	0	0.0390193331086888	0.012166719773235	0.20135059956825	0	0.0697023185250524	0	0.017837491763631	0.031785571163768	0	0	0	0	0.371293390481478	0.939114232957226
7843	0.0996842892883586	0	0.183499689075756	0	0	0.127858850190107	0.00542968965379248	0	0.0222132168123243	0	0.0526117332245996	0	0.0273984972751771	0.289717158778112	0.0352601025850729	0.123976408171498	0	0.0273464243808246	0.00141792499200978	0.00358601557236758	0	0	0	0.63598553959724	0.786928819779643
A5M9	0.0981303337410968	0	0.0852513349661528	0.033114719359005	0	0.246514743006785	0.0487995421618382	0	0	0	0.0519994391549327	0	0.0219233083276623	0.116899807064752	0.0643439867819066	0.145306087227341	0	0.0133405280295189	0.0743761701790079	0	0	0	0	0.591763764331912	0.829320400743314
3408	0.071655152137046	0	0.0411128822594867	0	0	0.328893150222188	0.0313897774574465	0	0	0.00928603938682525	0.0497234466051742	0	0.0273458395767769	0.0284496608604037	0.0392562318533349	0.199867298651034	0.0629791921288628	0.0513965090666516	0.0528469367311665	0	0	0.00579788306360327	0	0.388534319521012	0.9206501902807
6845	0	0.0689396907972212	0.154299746603822	0	0	0.212242466260148	0	0.00456555206732566	0	0	0.0686537951235285	0.00582817418555405	0.0355502172421599	0.172178556716479	0.00989229769296129	0.166190793589709	0	0.0352931657034585	0.0356327046935846	0.00913503834476463	0.0171693237615977	0.00442847721768507	0	0.355035397707588	0.936126334515229
