Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
A29W	0.0176937249177309	0	0	0.0739597585313916	0	0.222110338609238	0	0	0.00616504809442129	0	0.0508717409709588	0.00565635438938204	0.0402634562535671	0.17168171652898	0.00718223180761982	0.287092635033421	0	0	0.104986269902049	0	0.0123367249612409	0	0	0.31739487684155	0.954959092837291
A51H	0.397032154689388	0.0660904575691256	0.0620752680838288	0.0336995601250545	0.0623950102573195	0.121704969565923	0.02671504615046	0	0.0088680121397247	0	0.038339593281801	0	0.0064508568688152	0.0937659675041664	0.0315441048003852	0.0453201424295687	0	0.00383451212394664	0.00216434441049246	0	0	0	0	0.901034821014376	0.533917526329692
A728	0.010106629818164	0	0	0.264613116348919	0	0.0992778749953389	0.0116057935202681	0.0720250707739209	0.0823171935902169	0	0.00944989068711659	0.0349987977592891	0.0289890741026229	0.119696598985293	0.0635001139400013	0.150467768412431	0.00424436182464915	0.00821343130852306	0	0.0105668971029602	0	0.0299273868302849	0	0.594032586670451	0.811444887341783
A1PZ	0.0245219718395069	0	0.000916031268485662	0.144229496762207	0	0.114242138204349	0.0908213300687072	0.05759469482165	0.0567034948944153	0	0.101210485880741	0	0.0473886617039473	0.0784601621820484	0.0656014453200841	0.187159304641788	0.000657064361275565	0.0018893277456297	0.0286043903051647	0	0	0	0	0.243427078933506	0.987425591134092
A2J7	0.0435431701416935	0	0.0576440385085055	0.0832350180226382	0	0.154574943875877	0.0357055476961659	0.0294368321695955	0.0804181096777214	0	0.0543298844464996	0	0.0203602737763016	0.304149226860479	0.0558222875704476	0.0657800554994771	0	0	0.0150006117545983	0	0	0	0	0.460606068616227	0.886768917211111
A2MJ	0.13947812438091	0.00575501737524294	0.043499656368311	0.167913377148841	0	0.122555397937317	0.0590840005428802	0.0442504836332432	0.0479593087489007	0	0.0701722776887171	0	0.0364189125721807	0.0747553120107253	0.0764007108647022	0.0886538417618698	0.0148156472985747	0	0.00828793166758404	0	0	0	0	0.742112146688991	0.73359057704463
A5UL	0.0585958558218842	0.066822134430951	0.114859436973349	0.164455874879252	0	0.117122126035842	0.0708312594057414	0.0643304419564066	0	0	0.115202257773924	0	0.0185559698266137	0.0923475921293921	0.0617576681304904	0.0551193826361538	0	0	0	0	0	0	0	0.54364853177665	0.842197229109867
AAP7	0.0225361105457557	0	0.0398987499579091	0.268402386829972	0	0	0.103399666789998	0.0487528958817682	0.0370980831024592	0	0.147897670682763	0	0.0538680741680502	0.0645593820225036	0.0456402264756604	0.146033047831606	0.0114417851012273	0	0.0104719206103271	0	0	0	0	0.601357003787915	0.810154992867409
A3CC	0.141460767120187	0	0.0475263555312473	0.0160423908497962	0	0.155751890065945	0.0152199758119356	0.00761761349187254	0.0261920273553939	0	0	0.00856128761170166	0.0888701403507726	0.073168339321933	0.0210361415216682	0.308668675279814	0	0	0.0847038945192235	0	0.00518050116850949	0	0	0.368506784740196	0.929671140088696
A3J7	0.00762697105142394	0	0.0101458435828208	0.243649385400989	0	0.0702514937904908	0.00111102172290977	0.0626974389736166	0.0676707373924252	0	0.0303972195194956	0.0545110722902558	0.0299841197164261	0.104128464947955	0.0899725216649332	0.216653443623543	0	0	0.0112002663227159	0	0	0	0	0.313066742477387	0.962194834819073
