Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.D3.A8GB.06A	0.0755977538342543	0.0143061579473139	0.0664181476422363	0.229951868779254	0	0.0315862021086918	0.0262537372560757	0.10099446696603	0.0861451897783866	0	0	0.0740873434143909	0.00633073820470268	0.0830265036400984	0.0911136010912557	0.0823683479506378	0.00497140201475372	0.000675905318396176	0.02386571438106	0	0	0.00230691967246226	0	0.536262278181579	0.845830087222255
TCGA.WE.A8ZN.06A	0.00659481915959169	0.0153714651135586	0.0137903973888188	0.2944413115592	0	0	0.0303309646567251	0.0376619460447321	0.0643083750021657	0	0	0.0599435633493223	0.0290971205991991	0.197548703548392	0.0808048574382432	0.127420141336709	0.00915839640975582	0	0.0335279383935861	0	0	0	0	0.729711180492202	0.735135438054124
TCGA.ER.A2NF.01A	0.0221786739478832	0.0206634990935489	0.199134827262962	0.220269121777465	0	0.0586844145908437	0.00352543032308221	0.058485468237636	0.075149172123402	0	0	0.0282434729839863	0.00737585725945667	0.104366063784965	0.0593409887475322	0.105006852375331	0.00157286062192633	0	0.0358512633549922	0	0	0.000152033514987358	0	0.594903451863842	0.810866814575493
TCGA.HR.A2OH.06A	5.0800966280519e-05	0	0.0203157824822925	0.36821377188285	0	0	0.109912861898778	0.0655367114789322	0.0478507998171561	0	0	0.012804961085543	0.038275679050339	0.141723270628966	0.0882025770778826	0.0838884203185451	0.0113597067091568	0	0.0118646566032777	0	0	0	0	0.630195115976136	0.791489099975021
TCGA.WE.A8K6.06A	0.0131776762487495	0.0187317682257306	0.00112859665506862	0.0372322533483151	0	0	0.0212508957352505	0.025702479233835	0.0309544283015708	0.0255246800992171	0.031338072982863	0	0	0.489665037318502	0.0550294138437114	0.228359165085455	0	0	0.0159948907271972	0	0.00591064219453445	0	0	0.767932744869734	0.667636836927561
TCGA.RP.A695.06A	0.0315769926707343	0.01026573790004	0.0215378540377978	0.251105084646971	0	0.0623301560863333	0.00585868965544055	0.0503504594657353	0.0360125162933745	0	0	0.0503121663354993	0.00196902910536949	0.228612891742442	0.0436137017409234	0.180943899761647	0.00828468857069103	0	0.0146318151312207	0	0	0.00259431685578066	0	0.366731227236356	0.934292072799744
TCGA.D9.A3Z1.06A	0.00285184807236693	0.0329495327343641	0.0472045783457378	0.251395818466329	0	0	0.0963145653599097	0.0681599468819566	0.0240268531722767	0.0387322491395095	0	0.00648350227377525	0	0.12893274697003	0.0538507527178974	0.201983031079588	0.0208130718987982	0	0.0227664859272755	0	0.00353501696018496	0	0	0.420316980632781	0.90665251680287
TCGA.GF.A6C8.06A	0.0323899476688899	0.00736013131019116	0	0.217375678012559	0	0	0.117592290670997	0.0175231465606687	0.0260947947810999	0	0.0756152350077703	0	0.0276899216149364	0.165912674370327	0.124148465833093	0.134080099658393	0.0125060860414662	0	0.0382868788004702	0	0	0.00342464966913915	0	0.691800031422189	0.765480349473929
TCGA.D3.A1Q6.06A	0.0272739483449831	0	0.00996457374364354	0.0805812481681204	0	0.240261556878235	0.0469199619719201	0.0311620846893373	0	0.0167816117234138	0.0126103596748475	0	0.00346565039487597	0.209489031669352	0.0413831366186851	0.152333429775684	0.0377174527165267	0.0243301303291107	0.0101666894247652	0.0191653705244031	0	0.036393763352096	0	0.136044624179136	1.032771690493
TCGA.ER.A195.06A	0.0241785126503886	0	0.00132143366618962	0.238000942711605	0	0	0.0586965177012377	0.0191831761047309	0.0594609825725901	0	0.0184834044709145	0.0232679508706197	0.0235393027904514	0.186618033235264	0.0893241237534624	0.1971675592634	0.0102341636101232	0	0.050523896599023	0	0	0	0	0.678305063613417	0.773198287257608
TCGA.ER.A2NG.06A	0.00601913703001469	0	0.00489314649170569	0.345356299631091	0	0	0.125333029401369	0.0440032221254672	0.018357039283701	0	0.0424023005732776	0.0195356908109048	0.0075212709688507	0.210639667270391	0.0705822227276629	0.0786600276911719	0.00236013345071892	0.0007029194760152	0.0232445037390223	0	0.000389389328636471	0	0	0.714121604620839	0.738152896076782
TCGA.EB.A4IQ.01A	0.00483672796971499	0.0318841166484361	0	0.0624060408035312	0	0.0571859719329893	0.0238711367779948	0.0351760425419433	0.0127653721658399	0	0.0338715635540677	0	0	0.447312976070748	0.0169074112955314	0.142724141104811	0.00965492830715394	0.0186745754992493	0.0745982264409476	0.0145129809556761	0	0.0136177879313651	0	0.494386218746964	0.869684746361037
TCGA.EB.A3Y6.01A	0	0.0103634350201148	0.00394475641733097	0.183509241437171	0	0.0375795165867996	0.0696026911484302	0.0775607397764806	0.0297865933876114	0	0.0220601971717172	0	0	0.152714360576529	0.122903963257395	0.217642349663361	0.0163409950572422	0	0.0534840191371477	0	0	0.00250714136266953	0	0.418142353009799	0.90777655981166
TCGA.FR.A726.01A	0.011009076050949	0.0134016119393003	0.00443410038965003	0.0595685956492469	0	0.0717567985006354	0.0222284556732294	0.0392329242555114	0.021769930829509	0	0.0463338865668762	0	0.0112401662677766	0.356398287597874	0.0302554147810544	0.225568448904615	0.00240846603267662	0.0191637800197904	0	0.0426790269980983	0.00374553193297473	0.0188054976102319	0	0.480797702920668	0.876664126240359
TCGA.XV.AAZY.01A	0.0313988228272089	0.0131586715038062	0.0101270424238849	0.226237199497227	0	0.0342078170024914	0.0754640781178155	0.0213605001705717	0.0939186767697154	0	0.00215407102583489	0.0361082081196655	0.024900829620969	0.208206680377002	0.0340899402733876	0.137834714191854	0.00501335011260597	0	0.045819397965961	0	0	0	0	0.452815563489009	0.891191259074549
TCGA.FS.A1ZS.06A	0.042458532972165	0	0.00420654586607367	0.0380715871491335	0	0.134551898972765	0.0444872908757376	0.000311524508558212	0.00457853704441974	0	0.0347197673573877	0	0.00626983208888131	0.273765999473002	0.0257012845959269	0.32727321352633	0	0	0.0575460871900597	0	0	0.00605789837956081	0	0.72690029055638	0.73353589064014
TCGA.ER.A2ND.06A	0.072723247513175	0	0.0167349819025037	0.154770709141372	0	0.0753020653437309	0.0690161753258584	0.0649451112310619	0.0275695452270498	0	0.0351971262229723	0.00012423456309545	0.0108604621224162	0.0908262029626227	0.112835734768761	0.23267359427486	0.00453819546785715	0	0.00735142692627876	0.00441219009814877	0	0.020118996908236	0	0.387019772799364	0.921896341012607
TCGA.DA.A1I5.06A	0.0156489092192329	0.0174915293913226	0.0257954831010943	0.154499561227474	0	0.0233145971815853	0.0360040328292984	0.0559900024808437	0.0518405080531228	0.0020067671148463	0	0.0157143372568131	0.000207087873859927	0.346742426638931	0.059707917725601	0.129899890050181	0.0159858468086353	0.0103014786203819	0.0350374423937735	0	0	0.00381218203300348	0	0.690734356824831	0.756427016863963
TCGA.BF.AAP6.01A	0.016945547249418	0.00289410959576894	0	0.0458333429008207	0	0.10583446204218	0.0255803154745441	0.0342594658145748	0.0226415875584628	0	0.00264401596510195	0.021142224725049	0.0122588806350878	0.336504707407727	0.0381588454277973	0.257760102600297	0.0254172710173298	0.0107765735540799	0.00016904961442148	0.0411794984173391	0	0	0	0.541995997258459	0.841229917139944
TCGA.EE.A180.06A	0.0500757680695879	0	0.000163782030008572	0.154715761212914	0	0.102717777274282	0.0550869824447878	0.0638221074706581	0.0167019257398082	0	0.0333297102140366	0	0.0140175348005483	0.154852918004337	0.0730548208519706	0.216043248396364	0.0147504217888271	0	0.0482683231271617	0	0	0.00239891857470848	0	0.366921200786055	0.930864119796219
TCGA.EB.A5VV.06A	0.265843809545894	0.0844571874792816	0.028099229191007	0.237103027005222	0.0195552494559365	0	0.0552931971615606	0.047346408701286	0.0799508121383405	0.00865870786479371	0	0	0.0090278129903122	0.0407896690702415	0.0469019616808936	0.0679450506025874	0.00473778877891305	0	0	0	0	0.00429008833373015	0	0.809671899110904	0.652664511730978
TCGA.BF.AAOU.01A	0.00260581848314504	0.0569593765190197	0.124272993302336	0.101033689256452	0	0.0459147731642083	0.0676272920267633	0.0686000001103409	0.00847143076497766	0.0136159696571245	0.021520212347772	0	0.00860005794643513	0.165009615022456	0.0300677530712254	0.178073819705507	0	0.0476480211731869	0.0226183694973519	0.00230426161043849	0	0.0350565463412604	0	0.353182412293389	0.93662369987822
TCGA.EB.A431.01A	0.0424729785605503	0.0040478931799422	0.00058751217847548	0.0830264677667607	0	0.0510776281382017	0.0779267623550272	0.0383124309183673	0.0419531181950017	0.00696681982981497	0.0431731017873963	0	0.00980471171142501	0.215773587700329	0.0798516724765629	0.177718516693294	0.0115183680765781	0.0565814365924812	0.0244055051243971	0	0.00152142786483553	0.0332800608505592	0	0.438576353059873	0.898036172822521
