Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.91.6840.01A	0.137994371453264	0	0.0831247024876603	0.134915743978524	0	0.146952155216259	0.00986709254550984	0.043455339786188	0.0306684109911571	0	0	0.0277157345752812	0	0.127576213661318	0.105846218715291	0.0969340946231627	0.00527660271561606	0	0.0490400405684393	0	0	0.000633278682328934	0	0.566434571926989	0.832656228306317
TCGA.55.6986.01A	0.113466478181484	0	0.0463691750577118	0.0993302342321069	0	0.154651903050329	0.0116553513533664	0.0183184689328952	0.0223102368116479	0	0	0.0221775499708417	0.0196887055495968	0.0672431641697932	0.0303450657767877	0.228764956282119	0.0831547479983089	0.0116392171152128	0.0635767569283449	0	0	0.00730798858945308	0	0.698648690519463	0.779767387151884
TCGA.05.4395.01A	0.0192210432022876	0.0102242572244407	0.0178876752244437	0.0782545319088945	0	0.164127589624811	0.0699188519181495	0.0392099270364532	0.0104441262471517	0	0.0254601532880999	0.0589693866999395	0.052772147412666	0.0313240330327197	0.0769701866467895	0.189710182312909	0.052436798174528	0.0474816234189872	0.0518376066638422	0	0	0.00374987996288703	0	0.520235850857865	0.862298726668415
TCGA.44.7672.01A	0.0528155339179118	0.0195206588697785	0.0781223285276195	0.117301777855624	0	0.130373278454166	0.0676871068076625	0	0.0372462938224459	0	0	0.0433584446630337	0.00906636625089956	0.123344166857198	0.0623083285809424	0.115663294933339	0.0419107319536758	0.00886358009042611	0.0804315948168166	0	0	0.0119865135984607	0	0.351716921699475	0.936153076075642
TCGA.44.2662.01B	0.0405201841750577	0	0.00292446003591234	0	0	0.202755907095185	0.0221852072851275	0.013240127042914	0	0	0.044659306698083	0	0.0346600869573868	0.147867355105006	0.0723624971830481	0.21497358195194	0.0147201797047382	0	0.015229661705631	0.00183064296744909	0.108097884033134	0.0639729180593873	0	0.563217101973629	0.838761555586639
TCGA.97.8175.01A	0.0244276833623828	0.0152966687115242	0.0123720174195177	0.0379895066100116	0	0.120383754350867	0.0159327280336653	0	0.0456780316820594	0	0	0.0209178721853161	0.0196677365531012	0.15713431490285	0.0347822382744457	0.195001662267437	0.165264411551588	0.0337514350490619	0.0608013338421369	0	0.00870761414173192	0.0318909910623025	0	0.694536465981414	0.776298087479342
TCGA.55.8087.01A	0.00607855008721146	0.0290448717272835	0.0206835860056945	0.027931070887173	0	0.135735053891224	0.00513265810793648	0.00357154833464857	0.0146097852892405	0	0	0.00782092053317371	0.0132429964782916	0.0779055119546868	0.0244778317002862	0.162109185235235	0.282714769518445	0	0.17519743844209	0	0	0.0137442218073795	0	0.658379814084315	0.797470291901417
TCGA.78.7160.01A	0.0767959719745989	0	0.0163046762893993	0.163374823541755	0	0.185045627031551	0.032386996720017	0.00939395628774176	0.0173735510372995	0.000748608940293477	0	0.0225440946548295	0.011762658165742	0.103784218430531	0.066940952126456	0.167602827610178	0.0259641724031965	0.0588394857795444	0.0349435510703266	0	0	0.00619382793654066	0	0.770348153655064	0.729148065172659
TCGA.L4.A4E5.01A	0.0224323556586062	0	0.0927215765579671	0.0995325766921295	0	0.121324581027506	0.0400211813835124	0.0579490083585971	0.0910458759456131	0	0	0.0325420889741753	0	0.139264984449819	0.062077963387924	0.13614430183132	0.0476047975018891	0.013996800507035	0.0423025454856803	0	0	0.00103936223822645	0	0.411516238297728	0.910677727403152
TCGA.97.A4LX.01A	0.117223969829254	0	0.127769522057531	0.113086734817828	0	0.107177276969611	0.0318541061483574	0.0468718100958218	0.0297891580592563	0	0	0.0192154244824833	0.0132358890978279	0.0718832376232371	0.0922609976582928	0.118670029622484	0.0457836458215248	0.00445798373334936	0.0563179988240193	0	0	0.00440221515912085	0	0.661581629614678	0.785283238578403
