Mixture	B_cells	CD4T_memory	CD8T_B	CD8T_G	Dendritic_cells	Monocytes_Macrophages	NK1	NK2	NK3	Plasma_cells	Tregs	P-value	Correlation	RMSE
TCGA.D3.A8GB.06A	0.0808084691066172	0.0519947684178729	0.179522510328625	0	0.0266626312072373	0.086280333039518	0.0256676004069531	0.10955860238931	0	0.386350063862911	0.0531550212409551	0	0.608555062436227	0.795524468355305
TCGA.WE.A8ZN.06A	0	0	0.153428250614153	0	0.0348620455260136	0.12388877221491	0.269061764236016	0.143296809069807	0	0.232811088464853	0.0426512698742483	0	0.169607147035294	1.04154447697904
TCGA.ER.A2NF.01A	0	0.0502909218488727	0.140625987654913	0	0.0230278384497638	0.0554971934450273	0.0673920170944403	0.0322417190498909	0	0.602533428756877	0.028390893700215	0	0.649593473387475	0.76469549008577
TCGA.HR.A2OH.06A	0	0.0210660452992241	0.309614274063501	0	0.0173276843151134	0.179653302459823	0.127455511615959	0.0492382789708916	0	0.265436793294583	0.0302081099809046	0	0.472802511138882	0.882091914658949
TCGA.WE.A8K6.06A	0	0.0691874716818696	0	0.0665813461260025	0.0570913148009084	0.213849573974946	0.113512053590477	0.114119918729602	0	0.277953647739712	0.0877046733564818	0	0.169841550867012	1.02401882157943
TCGA.RP.A695.06A	0	0.02695909087144	0.0846457884884527	0.00786057425680693	0.0168928826764326	0.0369380561153512	0.260742178579599	0.100283748492038	0	0.465677680519879	0	0	0.543311514370533	0.845159979938755
TCGA.D9.A3Z1.06A	0	0	0.171976846941065	0	0.043618922744467	0.115099757046402	0.211547687967764	0.00339696084779245	0	0.454359824452509	0	0	0.599792483189772	0.802941616311459
TCGA.GF.A6C8.06A	0	0.0626036104464295	0.11502544171829	0	0.0399297011715787	0.0983636759979214	0.345099530294318	0.112851676708359	0	0.226126363663104	0	0	0.46848173208355	0.88947654635283
TCGA.D3.A1Q6.06A	0	0.129372929184839	0.0135310336050122	0.0746348356365351	0	0.0954852467074202	0.258580184396357	0	0	0.428395770469836	0	0	0.214089188444968	1.04207013046826
TCGA.ER.A195.06A	0	0.080272540153615	0.169136204584576	0	0.0427724320916911	0.163072519706738	0.221768603343073	0.113875073709182	0	0.186457802584037	0.0226448238270876	0	0.365974102444284	0.936247767347883
TCGA.ER.A2NG.06A	0	0	0.234161050692576	0.0414963535760791	0.0142000633643553	0.194766416796955	0.246317750552528	0.080693145144226	0	0.188365219873281	0	0	0.536837101436736	0.847709050520414
TCGA.EB.A4IQ.01A	0	0.152073409999879	0	0.131873031292491	0.0573845919067358	0.0464324216925739	0.408791939283023	0	0	0.203444605825297	0	0	0.219349676144008	1.02903184291643
TCGA.EB.A3Y6.01A	0	0.0604901424554279	0.0256225023279043	0	0.055429400934207	0.102901492368749	0.452266691567203	0.20490516199643	0	0.098384608350078	0	0	0.145430632593937	1.07692298701663
TCGA.FR.A726.01A	0	0.0824059831611395	0.0229979985491709	0.0477373992817112	0.0291282339949009	0.108156868937853	0.557200579910455	0.0808359510104136	0	0.0715369851543569	0	0	0.261483275409264	1.04756849397286
TCGA.XV.AAZY.01A	0	0.0909623316225467	0.0684609835388919	0.00766116966293405	0.0638871582806292	0.0985558639962815	0.282197786901672	0.0816206553018817	0	0.306654050695163	0	0	0.457400553399989	0.893067941108084
TCGA.FS.A1ZS.06A	0	0.164320473570995	0	0.106127690476636	0.080884337491048	0.187519873237219	0.331621176803663	0	0	0.129526448420439	0	0	0.117475010794451	1.05236915503041
TCGA.ER.A2ND.06A	0	0.0334919727537506	0.00867585929304977	0	0.0449336787855981	0.135390254450953	0.383280125599715	0.0723538507046635	0	0.321874258412271	0	0	0.424125961006986	0.92165681493643
TCGA.DA.A1I5.06A	0.0024662506518467	0.0858037127876725	0.0962201741168679	0	0.0160215311685243	0.226286639454724	0.203499625717576	0	0	0.3077463571848	0.0619557089179893	0	0.483020212260952	0.876868770918515
TCGA.BF.AAP6.01A	0	0.082507041060908	0	0.0723718678410292	0.0401953277992492	0.0609850484302712	0.615537528755807	0.0862152742896813	0	0.0421879118230537	0	0	0.320750260459449	1.03260557936799
TCGA.EE.A180.06A	0	0.0941385661037094	0.0753536389852449	0.0429454528629868	0.0433798290015088	0.0757582746787546	0.587839422552822	0.0572556893316845	0	0.0233291264832886	0	0	0.179122348437783	1.12472912595704
TCGA.EB.A5VV.06A	0.338284127287236	0.276537328341432	0.0880738657837773	0	0.0327039691469283	0.034023944185445	0.00975111534833972	0.0329480044072422	0	0.158363504288837	0.0293141412107623	0	0.671815920963253	0.756209050786949
TCGA.BF.AAOU.01A	0	0.0394026866165287	0.0528884867533595	0	0.00215345006302104	0.0652666538103163	0.162793127045072	0.053160788466267	0	0.624334807245436	0	0	0.607939971745582	0.807085972855538
TCGA.EB.A431.01A	0	0.170785827022745	0.0262527859896427	0.0301198198323577	0.033452973687589	0.0416838166419122	0.5332907511826	0.00310577208971403	0	0.16130825355344	0	0	0.361519015753868	0.977972254665813
TCGA.EB.A24D.01A	0	0.0224432812849069	0	0.0128446891551287	0.0160804687154946	0.0161625877635383	0.259660683902663	0.105504728540418	0	0.56730356063785	0	0	0.596932865113825	0.811969809835822
TCGA.RP.A690.06A	0	0.178082745141626	0.0545507869675335	0.15110447284763	0.0917846939337877	0.235187087225627	0.00178481602969824	0	0	0.0773849525736987	0.210120445280398	0	0.184325319998232	1.01453720095823
TCGA.FR.A7U8.06A	0	0	0	0.160426706203059	0.0487437897905963	0.0528174757640505	0.593977542181134	0.094354146679612	0	0.0496803393815476	0	0	0.247154779513462	1.07802225185184
TCGA.ER.A19A.06A	0	0.0626937810097988	0.212521621635637	0	0.0537647320384359	0.317711473277099	0.0476820602520116	0.190104415814563	0	0.0678328987095619	0.0476890172628936	0	0.594262799347693	0.815467624825517
TCGA.DA.A1I0.06A	0	0.1541105769765	0	0	0.0433915765111334	0.0847799581810107	0.194137993414267	0	0	0.484243016755737	0.0393368781613522	0	0.514092386506234	0.863740981379562
TCGA.EE.A2A2.06A	0.0347126534885308	0.114928379314212	0	0.0855520126286589	0.00982992496102354	0.0521623201007707	0.395552911064789	0	0	0.307261798442015	0	0	0.524530628426865	0.855424683636065
TCGA.DA.A1HV.06A	0.000134307723339193	0.0431688212266708	0.214613978468488	0	0.0188664870477032	0.177233613963364	0.161802042477531	0.0404915552649602	0	0.343689193827944	0	0	0.512755071240406	0.85922962513646
