Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.77.7142.01A	0.0327133428098337	0	0.00932324652304436	0.0828200176648386	0	0.147163691453488	0.0265656231962645	0.0141603432210598	0.0021593811713098	0	0.0113951870888266	0.00901559814100607	0.00701114493786121	0.233899541631853	0.0419879368190606	0.183716837186256	0.0389882915466728	0.0194695661479735	0.130472801548768	0	0	0.00913744891188369	0	0.735931432866872	0.748665271497111
TCGA.77.7463.01A	0.0706033572866445	0	0.0455729586051704	0.022693465805587	0	0.148767606138947	0	0.0262621849410208	0.0219879956207763	0	0.0286311285224592	0	0	0.258383920582295	0.0678687293930458	0.135912542926976	0.0530176241965905	0	0.0885255770852648	0.0220318993288275	0	0.00974100956639535	0	0.602991063855145	0.817844190455627
TCGA.77.8143.01A	0.046192150090678	0	0.0282223285609534	0.103437972056324	0	0.044061299583555	0.0702946592289908	0.0307710986424186	0.0378715958250739	0	0.0190814602674449	0	0	0.295062978947964	0.0797722079931771	0.126159763159808	0.0167646686548254	0.0220623423770316	0.0802454746117544	0	0	0	0	0.655426536587191	0.787310400530964
TCGA.21.5782.01A	0.0355132233767439	0.013886088267825	0.128010308311729	0.147418102376411	0	0.0320085946632957	0.0895803150333429	0.0266052148783096	0.021969038565618	0	0.00616549316252016	0.0388207832356027	0	0.205143701440998	0.0542409672515111	0.10299983617355	0.0213454561820514	0.00551932552300441	0.0692825619749613	0	0	0.00149098958252541	0	0.422124659267208	0.905911020273071
TCGA.98.A53C.01A	0.0764952563911902	0.0788512150205231	0.104541437855915	0.137738944250679	0	0.179366521263052	0.0432093517528438	0	0	0	0.0412714846830085	0	0.0151397696436439	0.0747399883164315	0.0339801145336584	0.101966037250871	0.00704345359831529	0.0229016918229924	0.0758152618237235	0	0	0.00693947179315216	0	0.578346047669474	0.829745291751432
TCGA.43.7656.01A	0.125606716996551	0.0129902546697473	0.107540230906726	0.128999902267384	0	0.160646078925173	0.0423134013882706	0.0680696906262114	0.00368468887858546	0	0.0176144610072949	0	0	0.113754549928975	0.126655421122047	0.0592273940428324	0.000115109622642989	0.00426655058079661	0.023465738550528	0	0	0.00504981048623428	0	0.591380176836544	0.815643698771001
TCGA.21.1078.01A	0.0569607472382131	0.0248186100085951	0.042184899145048	0.0765665345355628	0	0.166095822107924	0.0308696353427613	0	0.0151632266900994	0	0.0433695903067889	0.0341587806929106	0.0311144585939997	0.0808095693963427	0.0339814062233033	0.177594704153276	0.0383420603569525	0.0198860352159711	0.127458966192835	0	0.000624953799416447	0	0	0.255133925748899	0.973641617479568
TCGA.85.8048.01A	0.0455733778244893	0.0516984275077923	0.041317340942424	0.131371032364796	0	0.104954427950746	0.0869873495428891	0.0655397704327052	0.0115013551659506	0.00735564557886993	0.0179284671120751	0	0.00456128642561144	0.172149318141056	0.0884332754659091	0.0806377602969936	0.0134663744672481	0.0317392815958219	0.0439200848487431	0	0	0.000865424335879785	0	0.538725470091281	0.851517500232121
TCGA.LA.A7SW.01A	0.0149936062000875	0.00753838802029257	0.0064844988369179	0.041168332407841	0.0338983334928881	0.0448905557766418	0.0592440719363121	0	0.00163944174127781	0	0.0209033009702431	0	0	0.42494307934653	0.0241783946508075	0.210726217985011	0	0	0	0.067025922704904	0.00316931207947221	0.039196543850773	0	0.790470476325323	0.660542804090435
TCGA.56.8624.01A	0.160099669294252	0	0.0477559424688689	0.0698607488837844	0	0.222210203539766	0.0143176566376415	0.0225987902239377	0.00862324295625639	0	0	0.0318013190605372	0.0168699625819803	0.119639485548521	0.0358773818525247	0.114529771311273	0.0203629573618177	0.00163962400669133	0.109273772486379	0	0	0.0045394717857692	0	0.484981130826259	0.877463833107084
TCGA.18.3407.01A	0.0595783634670118	0	0.134872591664641	0.11341184467618	0	0.120804003448126	0.0410933165526283	0.00135208795501728	0.00187288469802937	0	0.0329677479925879	0	0	0.196261147071948	0.0558319098193895	0.103557519212648	0	0.0429605699946299	0.0545379802251862	0.0298893641221963	0	0.0110086690997807	0	0.427907864439234	0.903086746231559
TCGA.18.4086.01A	0.0850499883438404	0	0.146494508021306	0.0852156283485398	0	0.120219019570945	0.0722635907719959	0	0	0	0.0346150783123797	0	0.0116627082551074	0.119904963166313	0.0947200824865015	0.134056167489282	0.0439358465528195	0.000513464979221655	0.048531500718949	0	0	0.00281745298279872	0	0.478819720316457	0.879120583300052
TCGA.34.5241.01A	0.0471033940021815	0	0.0165637388222756	0.103246471018132	0	0.155739978498455	0.0638895763734886	0.0189878793680391	0.00216705753146778	0.00130445051610068	0.0436333484859076	0	0.0233560245036782	0.141572811096855	0.0767749161309387	0.16582998811885	0.0596262778285673	0.0165203812786582	0.042449331889589	0.00211835161387429	0	0.0191160229229425	0	0.626125038853573	0.812648452416426
TCGA.90.A59Q.01A	0.0790892767324114	0	0.160090464611457	0.174074313925262	0	0	0.12772727071135	0.0365907647094183	0	0	0.00727298278687243	0.0331439440695954	0	0.0535781561871551	0.0638216585377753	0.0786168527193354	0.0171703923496638	0.00591159433759915	0.0912030160040059	0	0	0.0717093123180986	0	0.533870220291364	0.851745468034452
TCGA.34.2596.01A	0.216888471549109	0	0.0586282836626541	0.0855949543278056	0	0.148805228985895	0.0204373105830667	0.060912254332943	0.00180432308650649	0	0.0155455151115453	0.00350277307879624	0.0086249736542737	0.144619135234809	0.0651664596595277	0.106139368739397	0.00572114659256735	0.0205277020884898	0.0242099549824398	0	0	0.0128721443301748	0	0.690771535644586	0.764521123887193
TCGA.85.8351.01A	0.0636404575002307	0	0.00627246791109469	0.0536410956988338	0	0.170708598628955	0.0286527343523296	0.0230890958765412	0	0	0.0198575291775607	0.0381214022814565	0.00203838646227315	0.177041616216872	0.0939625747585983	0.146861239243491	0.0818236385646271	0	0.0594415485534234	0	0.0292761304697591	0.0055714843039551	0	0.608192752133408	0.818807911224998
TCGA.NC.A5HI.01A	0.0748383830284894	0.00623593374178982	0.0609477515177515	0.161524456693201	0	0.052935838141075	0.0844322657070239	0.0432651965262155	0.00945840584969898	0.0180330124463736	0.00206584598008476	0	0	0.20559898225852	0.0891040917814794	0.103771128676263	0.0525730854116022	0	0.020467404531601	0	0	0.0147482177088315	0	0.489461270583725	0.874414149478237
TCGA.22.5474.01A	0.0724558212079183	0	0.149353836803499	0.153818705564463	0	0.00290107508938652	0.0735783162788787	0.0488515002938548	0.0214523567428322	0.0186155932583916	0.0319477452200521	0	0	0.138807550608024	0.113168150424627	0.117065339405104	0.0157950218192043	0.00210362413229153	0.0356172806384018	0	0	0.0044680825130712	0	0.541650139328423	0.845777072287775
TCGA.39.5024.01A	0.0725823378910172	0.0202234758244649	0.0208339192899302	0.0975133573762785	0	0.140900538391612	0.0151915295346375	0.0656652262875418	0.0348198293579748	0	0	0.030607447336277	8.73612323837168e-05	0.155604926471236	0.14550667933685	0.0798608640684941	0.0507346640683774	0.042065539991172	0.0278023035417534	0	0	0	0	0.672706516859619	0.773435588941673
TCGA.63.7023.01A	0.0162451448767503	0.00841442764118791	0.0459600956622158	0.192419273304861	0	0.0872974766116505	0.0652396260370686	0.049891094983477	0.0132198450175973	0	0.0158577854356533	0.0278896181842797	0.0135915901780007	0.0922010251276003	0.0863486923497482	0.137950691764144	0.0425405357994486	0.0550387077064188	0.047171920173304	0	0	0.0027224491465942	0	0.459771763340457	0.888597889965504
TCGA.J1.A4AH.01A	0.0643185009966947	0.0342273283172968	0.185833390541147	0.0440208491389202	0	0.108113072225234	0.0462926522118658	0.0367138034807871	0.00036771203496431	0.00166689295675056	0.0324900344502874	0	0	0.186830484462669	0.0476834459978805	0.159547356680736	0	0.00135569454747576	0.0494838901307737	0	0.00105489182651745	0	0	0.48669297504128	0.873488966411127
TCGA.85.8355.01A	0.176982610857296	0	0.105048648990748	0.12171266618348	0	0.0753569748169564	0.0550910077745129	0.00617153198976834	0.0285077742868589	0	0.0360319836006924	0	0	0.148749769534306	0.057809990147902	0.119852455870921	0.0213608915554033	0.00702771528832848	0.0402959791028253	0	0	0	0	0.746412535770967	0.734457763944184
TCGA.96.7545.01A	0.0741695917314128	0.0374691073002712	0.00888524669035348	0.0913142535203572	0	0.202126015265669	0.0350327500410202	0.00549993505814768	0	0	0.0109348911323036	0	0.00659179801657089	0.149385401518	0.0459400648481427	0.162037462457316	0.0596788965022452	0.0117031289550475	0.0759279792530388	0	0.00543605411432266	0.0178674235957814	0	0.638781417262818	0.808083373938726
TCGA.85.8353.01A	0.0860679850227296	0	0.147110157045173	0.104459612383337	0	0.159913770691469	0.0400286187445866	0	0	0	0.0415295587330211	0	0	0.203307512836864	0.065623294467653	0.0759491227159293	0.00480921403770672	0.00774147953217214	0.0485521972172697	0.00859559448521553	0	0.00631188208687356	0	0.548312298730757	0.842537317523103
TCGA.58.A46K.01A	0.0615310134714568	0	0.101593887307781	0.169280774704549	0	0.0651454017600991	0.0805180407579495	0.0695271072771661	0.01162574451332	0	0.0647317100155867	0	0.00734814763069423	0.0994448528674965	0.10221115955234	0.0981776890504639	0.0150527496565364	0.0189734818445108	0.0338777972227451	0.000724264936987605	0	0.000236177430317629	0	0.486826542966784	0.874775724649614
TCGA.77.A5G7.01B	0.0871058294230428	0	0.190684285555322	0.140658404671103	0	0.0528174785295275	0.0723657084635758	0.0334309016468954	0	0	0.0223653218437438	0	0	0.111373523691102	0.0848588704730396	0.103304836789339	0.0222040133897014	0.0378934179654166	0.0337220933311121	0	0.00573573662916201	0.00147957759791625	0	0.528242798918897	0.851229214991306
TCGA.77.8139.01A	0.021753252486459	0.00895309155855385	0.148633704735313	0.0820193128749181	0	0.10603947151013	0.0747837235638007	0.0370791587147463	0.0242330945019288	0	0.0386433415228926	0	0	0.224715042701843	0.0428179337091279	0.129835274439439	0.0077577434085365	0	0.0424904902038386	0.00045548914029161	0	0.00978987492818063	0	0.377328471107856	0.92692310302191
TCGA.21.1075.01A	0.0184958491443308	0.0350315060346627	0.0479984169893961	0.036946041739658	0	0.112302808828757	0.0266441563529001	0.0445303679324919	0.00633625895252431	0	0.0337551571411098	0	0.00514764041368916	0.203460014484599	0.047862133272907	0.178070818461297	0.0308903838173472	0.0826498129306545	0.0236876528851546	0.0484929284044592	0.0106284961574624	0.00706955605659972	0	0.440261515557986	0.897678327135275
