Mixture	B_cells	CD4T_memory	CD8T_B	CD8T_G	Dendritic_cells	Monocytes_Macrophages	NK1	NK2	NK3	Plasma_cells	Tregs	P-value	Correlation	RMSE
TCGA.D3.A8GB.06A	0.0810202388764017	0.0523470025499391	0.17998950663764	0	0.0267589128479771	0.0863469234193916	0.0255643320185976	0.106969675525733	0	0.387055787534994	0.053947620589326	0	0.609003533591571	0.795155030019931
TCGA.WE.A8ZN.06A	0	0	0.151227055877018	0	0.0331003235707669	0.124858688210106	0.270624646403876	0.142472950637907	0	0.233757855461484	0.0439584798388417	0	0.170176644116039	1.04135444733003
TCGA.ER.A2NF.01A	0	0.0287936140921385	0.114399083003255	0	0.0159111868759021	0.0517940206608034	0.0520116096010808	0	0	0.683356137661883	0.0537343481049375	0	0.663700003890258	0.764240206398053
TCGA.HR.A2OH.06A	0	0.020887639451993	0.310577987481863	0	0.0173223264503618	0.179236224816782	0.126885050454764	0.0499972394491254	0	0.264471599364864	0.0306219325302465	0	0.471654842772512	0.882726655280742
TCGA.WE.A8K6.06A	0	0.0704875878145821	0	0.0656181387356648	0.0572497899998506	0.214272346453277	0.112345761158883	0.114880143313268	0	0.277870540863554	0.0872756916609197	0	0.170221701652942	1.02384519044944
TCGA.RP.A695.06A	0	0.0260768876924137	0.0821905467829288	0.00732217570673759	0.016761057897662	0.0372387207731686	0.261807617110869	0.104199437987001	0	0.464403556049219	0	0	0.542920608837218	0.845323914835235
TCGA.D9.A3Z1.06A	0	0	0.175633468888417	0	0.0433311855579395	0.116687405474336	0.209915239206568	0.00475836337333978	0	0.4496743374994	0	0	0.597185671144227	0.80482361393424
TCGA.GF.A6C8.06A	0	0.0642030548284205	0.116111139336606	0	0.0402688347957346	0.0985916614144843	0.343847849280237	0.111187998369827	0	0.225789461974691	0	0	0.468564722649716	0.889347396474913
TCGA.D3.A1Q6.06A	0	0.130816588419715	0.0139444503611622	0.0737941514066454	8.55488315941549e-05	0.0945672834300621	0.258108801588607	0	0	0.428683175962214	0	0	0.214174663794995	1.04208616692656
TCGA.ER.A195.06A	0	0.0794505929061527	0.168851539169682	0	0.0427755124693528	0.163305329350491	0.221906730910614	0.113945608307514	0	0.186488896743665	0.0232757901425294	0	0.366154704604695	0.936175031516908
TCGA.ER.A2NG.06A	0	0	0.234311478943807	0.0413245992157021	0.0141302306251235	0.195269358139513	0.246481509756434	0.0798809827106284	0	0.188601840608792	0	0	0.537090993417976	0.847578845470855
TCGA.EB.A4IQ.01A	0	0.155407525432307	0	0.136076343113127	0.0577645291011723	0.0456515633966168	0.401721197435462	0	0	0.203378841521315	0	0	0.218511849337815	1.02794215331062
TCGA.EB.A3Y6.01A	0	0.0605309567936739	0.0288083222668228	0	0.055760901251732	0.101702056283666	0.442510251251426	0.212203840381131	0	0.0984836717715479	0	0	0.144928609995553	1.07472473674943
TCGA.FR.A726.01A	0	0.0833359712948226	0.02407676722987	0.0460186502537034	0.0293797637284374	0.107777627072127	0.557092761578256	0.0805686846294844	0	0.071749774213299	0	0	0.261589150401964	1.04756130932455
TCGA.XV.AAZY.01A	0	0.0932336082050685	0.0655458898708031	0.0130766069636295	0.0642334277016286	0.0988860736206522	0.28356065785505	0.0737990551904421	0	0.307664680592726	0	0	0.458678038430474	0.892393465619604
TCGA.FS.A1ZS.06A	0	0.162235502926119	0	0.105858094509335	0.0801381830090646	0.189716592246654	0.332547699056646	0	0	0.129503928252181	0	0	0.117971858930527	1.05238700710282
TCGA.ER.A2ND.06A	0	0.0360105374189275	0.012312957997042	0	0.0445274791259732	0.133398496416806	0.378866749620266	0.0762475806543451	0	0.318636198766641	0	0	0.422229549766119	0.921947649930819
TCGA.DA.A1I5.06A	0.00237712690106041	0.0867689346390761	0.0976704665360626	0	0.0162206503430952	0.225428924454221	0.205232081171754	0	0	0.30632155055233	0.0599802654024004	0	0.481411187563286	0.877799768852644
TCGA.BF.AAP6.01A	0	0.0821334026835225	0	0.0687481004355194	0.0409903907883063	0.0615933208979163	0.613193298015759	0.0911296447387451	0	0.0422118424402311	0	0	0.321007981300468	1.03148037949553
TCGA.EE.A180.06A	0	0.0952971131239761	0.0807276998458765	0.0357057676755601	0.043271057733101	0.0755975385247432	0.583333687423724	0.0627754135281913	0	0.0232917221448283	0	0	0.178599465128786	1.12399918206401
TCGA.EB.A5VV.06A	0.336080680071214	0.279297711096552	0.0879028031653759	0	0.0324820408146895	0.034109928360777	0.0100488086415082	0.0356115794190203	0	0.156734793121725	0.027731655309139	0	0.67036900272885	0.757769674879784
TCGA.BF.AAOU.01A	0	0.0382306013616919	0.0526926069008572	0	0.00285525562213621	0.0655421055486775	0.163301067666002	0.052662817506373	0	0.624715545394263	0	0	0.608010956296676	0.807135675229125
