Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
X6650	0.114648442264408	0.00866409558881845	0.0626573302732221	0.0517462166077565	0	0.134471854782053	0.0529547646912087	0.0362321308146995	0.0743923264924462	0.0295055544119435	0.0568849296882121	0	0.00650677423793369	0.108709185332744	0.0351067580612332	0.0848329332974063	0.0392443875869538	0.0192474670024995	0.0269884717696839	0.0293515155274347	0.0250284016761672	0.00282645989317522	0	0.911260429124529	0.660375928423818
X2677	0.131171548432336	0.00483772166004853	0.0297211636723395	0.087012995661487	0	0.146996961321084	0.168923948830231	0.00144616348025362	0.00182377357643405	0.00211805681536803	0.0675733080014165	0	0.0265605057983132	0.0765213853302758	0.0447260038873178	0.0787885370370529	0.0647884218110679	0.00990217845284203	0.0448894840028541	0.00580153185999202	0.00164719742039971	0.00474911294888584	0	0.894937599217226	0.680481314209897
X6780	0.0490365941055181	0.0159712997526485	0.0316497973475251	0.116663379012366	0	0	0.0591826888756125	0.0512996564997535	0.0424792343182021	0.0210867779805317	0.0466424845353305	0.0422851473546954	0.00203778494560264	0.119910296582794	0.0995879925771782	0.149399384272051	0.115059159972615	0	0.00252260149070866	0.0229373337416839	0.00710394271669076	0.0051444439184932	0	0.705299040339706	0.766183029189696
X5656	0.132197143067029	0.00250458694589523	0.0265791394183359	0.061484717303991	0	0.121757936540826	0.151937483853889	0.00708707632909968	0.041380295270174	0	0.0766436480778189	0	0	0.139957987602297	0.0422546503011408	0.0807086178741191	0.0629651521428676	0.00411206690999605	0.0276606312784479	0.0117560387140855	0	0.00901282836998695	0	0.8899739686442	0.676702895636175
X6781	0.0595847579758716	0.0149048083312862	0.0274579937253631	0.165477455938735	0	0.047702731568251	0.0128243999027759	0.0165638150155362	0.0270421421857563	0.00211997913030547	0.077296874573161	7.89304797799659e-05	0.0798073445104415	0.165455840213674	0.0553867517066456	0.111305411624109	0.0536937758213587	0	0.0375567485595221	0.0112962628194627	0.0106267455596267	0.0238172303583389	0	0.829495183623382	0.704960862584929
X5661	0.112220060814712	0.0135074117736395	0.0415224346018411	0.0786539644892133	0	0.15066443498511	0.0536622833682298	0.0285081563897422	0.0573814845240806	0.0153049950344128	0.0691389000496228	0	0.0104349178743722	0.069447869431986	0.0393882213022113	0.0753248507928436	0.0722613268717182	0.0237732497993427	0.0117500887816447	0.0494428688147804	0.0249647543966299	0.00264772590386644	0	0.877868572459613	0.680064396506018
X2674	0.0534531792135799	0.0224615071208346	0.0389444484724348	0.051869906053896	0	0.074105264530156	0.0165178853204117	0.0172412639749311	0	0.004151939989399	0.00839936649748127	0.0148651529151668	0	0.040396681897894	0.0277449921036757	0.107299086178936	0.0148333034616459	0.0191056766298693	0	0.259780660771361	0	0.228829684868326	0	0.570144558596173	0.823116661750971
X5659	0.132841428772055	0	0.0363567880672065	0.0785687540401802	0.00258488723309183	0.0985477199075865	0.165510194014964	0	0.0139119322893076	0.00817112176500398	0.0536813372116653	0	0.0261983770616456	0.113236170172405	0.0423531922228143	0.0828664727503766	0.066533685804563	0.00632017765992855	0.0543937076012265	0.000188587585396005	0.0177354658405834	0	0	0.935041729869216	0.666890299516549
X3809	0.0559631521156791	0.0289127250215213	0.0177031711752956	0.0790110449483669	0	0.104508311342497	0.0407759182315728	0.0893883997447787	0.00287845848388962	0.0182885310165503	0.0699982663919559	0	0.00824748069938685	0.0378725015888842	0.0828728610182068	0.148871860681946	0.06990158884565	0.0117177224295358	0	0.1058231726378	0	0.027264833626483	0	0.729177306579935	0.759238645526227
X5665	0.11058269083601	0.00243097969340179	0.0456001559175527	0.140815590893164	0	0.0697998363313121	0.0999059225277062	0.0343430782211717	0.052817820578717	0.0141049151475147	0.10363778896241	0	0.00705917770987719	0.0874571631599453	0.0392342320276623	0.0657226929556535	0.0438141331142749	0.0146919085978799	0	0.0516576978253772	0.0163242155003695	0	0	0.869704526558069	0.669207892015966
